Who Loves the Sun - 2015 Remaster,1rJi8cf8OWsrX4CqBnMSoQ,166.213,58,4,1,4,0.326,0.441,0.568,0.0,0.368,-8.833,0.0298,0.721,130.131
Sweet Jane - Full Length Version; 2015 Remaster,3cw3Z7mS55gd3NUjh4k0bL,246.306,64,2,1,4,0.015,0.619,0.637,0.0,0.374,-7.369,0.0286,0.936,105.205
Rock and Roll - Full Length Version; 2015 Remaster,1o6DclZHw0HomxXEQR1ijX,283.0,61,5,1,4,0.00401,0.494,0.735,3.14e-06,0.544,-8.347,0.0345,0.742,132.526
Cool It Down - 2015 Remaster,2YyONIkw0mFNHKRVkbjJI8,185.333,29,7,1,4,0.225,0.656,0.683,0.00181,0.336,-8.512,0.0271,0.963,129.216
New Age - Full Length Version; 2015 Remaster,5HsAR5wajzn4JideTD4SXs,310.506,28,2,1,4,0.284,0.355,0.34,5.59e-05,0.104,-11.488,0.0263,0.19,80.273
Head Held High - 2015 Remaster,0OibK8JtYlVGjWtYsw94pT,176.893,26,0,1,4,0.00134,0.564,0.909,0.0092,0.528,-7.621,0.0544,0.896,134.457
Lonesome Cowboy Bill - 2015 Remaster,0QcCTtkuZHE2dUMTz1yoAr,163.92,25,9,1,4,0.193,0.428,0.782,0.0,0.123,-8.04,0.0394,0.731,82.937
I Found a Reason - 2015 Remaster,3AFImoxgt7EmXHgpaGLbLt,255.68,31,5,1,3,0.0619,0.424,0.289,0.000444,0.104,-12.063,0.0271,0.335,77.941
Train Round the Bend - 2015 Remaster,60ZyiL4lmWzZyGfqyECTqp,201.44,24,7,1,4,0.096,0.624,0.774,0.0309,0.096,-10.391,0.0315,0.917,117.006
Oh! Sweet Nuthin' - 2015 Remaster,0i19MAZbyn8uTir7FprXId,445.186,68,5,1,4,0.303,0.399,0.467,0.0186,0.124,-11.763,0.0284,0.525,75.601
I'm Sticking With You - Session Outtake; 2015 Remaster,3tA1FM2kIjrpHc6CF16kZR,173.16,26,9,1,4,0.297,0.375,0.443,0.0,0.247,-10.707,0.0409,0.389,164.929
Ocean - Session Outtake; 2015 Remaster,0TvF2UvMaTwhwU1TQEEMM1,344.933,24,7,1,4,0.17,0.235,0.519,0.743,0.116,-7.644,0.032,0.177,146.795
I Love You - Session Outtake; 2015 Remaster,3xw7GH0FzWoQ7iThOLwGTs,173.946,22,0,1,4,0.8,0.895,0.665,0.0,0.0705,-6.43,0.0408,0.828,134.854
Ride into the Sun - Session Outtake; 2015 Remaster,6nX6a7XFWRPMfaBea5WIxl,203.533,27,2,1,4,0.667,0.144,0.343,0.0034,0.347,-9.967,0.0327,0.167,74.182
Who Loves the Sun - Mono; 2015 Remaster,5JsRKy7QzCDnpK7GCPfUS0,164.88,21,4,1,4,0.146,0.456,0.601,3.1e-05,0.362,-8.817,0.0282,0.864,131.971
Sweet Jane - Mono; 2015 Remaster,3XWHY4VhsoaaZLbtkc30ok,195.346,26,2,1,4,0.00557,0.647,0.539,0.0,0.317,-8.753,0.0361,0.915,106.246
Rock & Roll - Mono; 2015 Remaster,0oJXF6lAJxQ540X6ab4LYS,277.84,38,0,1,4,0.000907,0.481,0.688,0.000152,0.206,-7.358,0.0399,0.614,133.871
Cool It Down - Mono; 2015 Remaster,2bWGAdo5iyrL7n0Ajl3kUB,183.24,18,2,1,4,0.169,0.672,0.714,0.0209,0.301,-8.201,0.0264,0.962,130.404
