Beef Rap,1m14Mfy2JuHr6CoCbxtghp,279.666,49,4,1,4,0.371,0.426,0.902,2.69e-05,0.715,-5.673,0.312,0.642,91.65
Hoe Cakes,40155dfa7olSEyn4voiTSB,234.146,54,1,1,4,0.0987,0.511,0.613,0.0,0.144,-6.371,0.321,0.95,92.184
Potholderz feat. Count Bass D,7zaM5CKsaSqh4NBlXa5MJJ,200.653,53,3,1,4,0.655,0.82,0.677,1.7e-06,0.0668,-6.349,0.288,0.73,87.204
One Beer,5q6GyhYQUAgCWDuMZDXXUG,258.586,58,7,1,4,0.0996,0.376,0.718,0.00332,0.633,-6.7,0.246,0.615,91.115
Deep Fried Frenz,7DohBLNKJYwHSVictLoDDC,299.626,53,6,1,4,0.0823,0.646,0.67,0.0,0.342,-7.874,0.281,0.553,96.28
Poo-Putt Platter,2nLPlrJqNlMnSJnsTZIg1D,73.613,44,8,0,4,0.689,0.541,0.943,0.00215,0.367,-6.887,0.486,0.748,159.803
Fillet-O-Rapper,7h36YcnuG7OmewAslt8jjA,63.68,42,9,0,3,0.395,0.836,0.682,0.0,0.674,-8.013,0.352,0.816,107.024
Gumbo,07iXSQdxwIhyi3p4wg8WXg,49.44,42,6,0,3,0.236,0.5,0.747,3.96e-05,0.316,-9.354,0.448,0.934,87.991
Fig Leaf Bi-Carbonate,2eEoZeP9r1m4qaGDWTQHwA,199.36,42,1,1,4,0.299,0.55,0.813,0.0,0.762,-7.252,0.366,0.706,92.676
Kon Karne,4OUFT2okeM8Q11ZocQ6bKn,171.6,46,5,0,4,0.178,0.588,0.794,0.0,0.571,-7.084,0.431,0.767,92.348
Guinnesses feat. Angelika & 4ize,6AyeUhJ5eUg0QzDXbPVHo0,281.72,47,1,0,4,0.304,0.512,0.764,0.0,0.278,-5.085,0.246,0.698,165.862
Kon Queso,5bwjxrAR2jj0kCovNYq1IX,240.266,46,11,1,4,0.0266,0.649,0.66,0.0,0.616,-6.96,0.302,0.756,105.726
Rapp Snitch Knishes feat. Mr. Fantastik,4xz7WX28IkmcaHv06lCezR,172.893,63,7,1,4,0.327,0.728,0.832,0.0,0.504,-6.827,0.267,0.825,95.051
Vomitspit,3Mgnz3o3Z3BRr6Yfr3d6fv,168.013,51,10,0,4,0.147,0.602,0.827,0.0,0.393,-5.677,0.217,0.844,92.993
Kookies,3Dq34CufmxmXjGXAwVktxq,241.52,46,7,1,4,0.0156,0.766,0.696,0.0,0.433,-8.331,0.312,0.711,110.296
