About A Girl,48YkpE5enOln5c7jXSTuHL,218.0,64,3,0,4,0.14,0.606,0.769,1.64e-05,0.841,-9.215,0.0713,0.593,121.042
Come As You Are,3sYWyVGfPuit80szWXhrRA,253.906,64,5,0,4,0.554,0.683,0.766,0.00346,0.0815,-8.733,0.041,0.568,119.19
Jesus Doesn't Want Me For A Sunbeam,7oBazz4xCO7Ul3MJHhKy0Q,277.266,58,8,1,4,0.0638,0.51,0.641,3.65e-06,0.272,-10.312,0.0812,0.295,113.646
The Man Who Sold The World,15VRO9CQwMpbqUYA7e6Hwg,261.093,74,1,0,4,0.425,0.483,0.753,0.000142,0.257,-8.937,0.0832,0.42,115.102
Pennyroyal Tea,6DX6W2QXiVlKYQLrQN8y83,220.506,56,1,0,4,0.306,0.497,0.474,1.82e-06,0.105,-8.047,0.033,0.0411,113.022
Dumb,725QAOexNLmGZiFMN7U8pF,172.933,57,6,1,4,0.567,0.69,0.542,0.000779,0.853,-9.119,0.0367,0.673,109.449
Polly,0xHch89AN9RlN8Nm4kJzs3,196.466,58,11,1,4,0.683,0.618,0.392,7.09e-05,0.905,-11.941,0.0388,0.437,115.075
On A Plain,2RyiGdY33PR4aCTUolEhk7,224.733,56,1,1,4,0.433,0.703,0.795,0.0,0.453,-8.632,0.0409,0.631,117.946
Something In The Way,1tlTFxB34VorrZnJNfRWcs,241.533,56,1,1,4,0.656,0.547,0.335,0.000161,0.115,-13.304,0.0501,0.109,106.099
Plateau,2smax1OWAxOo63p14G8KZx,218.133,59,4,1,4,0.49,0.45,0.501,2.51e-05,0.552,-12.611,0.0712,0.327,84.841
Oh Me,2vfCSwToh0Am0O4zgHXfn7,206.16,60,8,1,4,0.726,0.538,0.51,0.0187,0.205,-13.192,0.102,0.262,72.471
Lake Of Fire,4UJmPSJsBsIR1U0N79BU1g,175.973,67,1,0,4,0.277,0.541,0.618,4.02e-05,0.413,-9.652,0.179,0.68,145.464
All Apologies,3bH8PZsfbCRIoeNiFm7JmU,263.226,60,1,1,4,0.5,0.569,0.579,2.79e-05,0.109,-10.988,0.0716,0.407,108.998
Where Did You Sleep Last Night,551qy5vUgrUfEUc4dCNfht,306.066,69,3,1,3,0.667,0.573,0.59,0.000397,0.691,-8.43,0.0557,0.364,108.789
