Maggot Brain,3utrFnKNa1QSmUIm8QxHEC,621.106,61,4,0,3,0.777,0.3,0.353,0.478,0.406,-15.588,0.047,0.19,134.912
Can You Get to That,2liDEMyPVzDDLXKUnyiznA,171.56,65,8,1,4,0.539,0.689,0.83,0.0,0.0882,-8.774,0.0954,0.815,140.732
Hit It and Quit It,1KY5uAJN6rAnasQEIxNlaJ,231.906,52,1,1,4,0.013,0.526,0.819,0.0138,0.664,-8.364,0.139,0.664,146.231
"You and Your Folks, Me and My Folks",52zm3qweHMnmK3tb7dVHrm,218.013,41,1,0,4,0.0425,0.498,0.811,0.0,0.0959,-8.884,0.044,0.828,76.782
Super Stupid,4HlIthZsr8bsWll2z0Z7xt,241.293,46,1,0,4,0.00118,0.26,0.921,0.492,0.292,-8.648,0.103,0.285,99.465
Back In Our Minds,4YzQigsLSPSrGSTAwgnaJ6,160.653,38,0,0,4,0.0499,0.457,0.723,5.21e-05,0.0234,-9.67,0.032,0.74,136.406
Wars of Armageddon,0m3C4IR5NsZnRPafCjvTFZ,587.786,37,11,1,4,0.45,0.578,0.979,0.201,0.314,-9.254,0.0778,0.392,126.75
Whole Lot of BS - 1972 Version,4dEf4WEDb3tuyhpbZJN8yR,133.36,34,6,0,4,0.026,0.623,0.984,0.0276,0.272,-7.277,0.0411,0.796,109.694
I Miss My Baby - 1972 Version,01P4pxQDWbagNSrZMU3EPN,305.12,36,4,1,4,0.143,0.537,0.621,1.61e-06,0.0962,-8.606,0.0408,0.777,147.477
Maggot Brain - Alternate Mix,230Bz7ky5GBXiR3ze8IP0w,575.96,40,4,0,3,0.784,0.372,0.448,0.76,0.105,-10.659,0.0325,0.281,135.838
