Maria fumaça,0C4zk034TFnI2z8eorbv4K,144.84,38,1,0,4,0.054,0.629,0.968,0.872,0.347,-5.354,0.0494,0.937,109.995
Na baixa do sapateiro,0EFgQPupq1L5Xk8pipKhI1,206.853,28,9,1,4,0.152,0.78,0.876,0.66,0.0517,-6.499,0.08,0.936,107.412
Mr. Funky samba,4SXWXupjFY49tbQWCG5rFf,219.173,42,2,1,4,0.151,0.632,0.791,0.825,0.127,-5.509,0.0507,0.938,101.675
Caminho da roça,3ZANRryloGqY8bAKqVj0ph,182.413,23,9,1,4,0.0577,0.624,0.89,0.672,0.117,-4.659,0.0652,0.91,106.283
Metalúrgica,5eAaAQRye5dkkLYanT1hkY,181.493,21,7,1,4,0.145,0.535,0.852,0.000195,0.358,-5.937,0.0436,0.524,96.413
Baião,60hBlIpWCjnEUMpbcY1Bfg,179.666,22,10,1,4,0.0514,0.717,0.82,0.572,0.0507,-6.929,0.0363,0.94,106.544
Casa forte,7ulVAlO3bUBZQXZQqLOSMP,142.013,28,0,1,4,0.0392,0.625,0.877,0.501,0.152,-5.245,0.0558,0.907,105.687
Leblon via Vaz Lobo,22CZLihuagB3on2ChgVR3p,152.493,20,2,1,4,0.0685,0.626,0.919,0.516,0.317,-5.356,0.124,0.743,110.894
Urubu malandro,3SY5Fpmailnt3gqua0OKQ0,151.0,18,2,1,4,0.0164,0.657,0.89,0.707,0.132,-4.957,0.0634,0.709,116.597
Junia,03Wc8Crk4tLNbEN8bILI5b,221.746,21,1,1,4,0.703,0.513,0.489,0.947,0.0988,-8.633,0.03,0.146,117.004
