Battery (Remastered),7wz8LNfmGZ3C0PwKW9LdDg,312.36,58,11,0,4,0.000211,0.48,0.923,0.531,0.106,-8.793,0.0682,0.44,96.535
Master of Puppets (Remastered),54bm2e3tk8cliUz3VSdCPZ,515.386,67,4,0,4,0.00067,0.539,0.828,0.421,0.154,-9.108,0.035,0.562,105.25
The Thing That Should Not Be (Remastered),0Zo0GJhGcT2qKFb5NxY3Vf,396.106,50,9,1,4,0.000108,0.679,0.716,0.349,0.126,-10.14,0.0313,0.485,111.827
Welcome Home (Sanitarium) (Remastered),7LHZ7HA45ezKcdN8sBrBuS,387.146,56,0,1,4,0.000305,0.309,0.767,0.151,0.0967,-9.676,0.033,0.413,97.944
Disposable Heroes (Remastered),2a2le1M7cmvdrg1QHH7H53,496.626,50,4,0,4,4.75e-05,0.264,0.931,0.454,0.0897,-7.615,0.0928,0.414,90.246
Leper Messiah (Remastered),6u5I4WWb8KDN559xT2hrQ6,339.88,46,4,1,4,5.19e-05,0.38,0.8,0.735,0.321,-8.617,0.0695,0.574,138.714
Orion (Remastered),4xyWJM4kscTROV2RESdwpd,507.226,53,9,1,4,0.0013,0.367,0.672,0.899,0.111,-10.014,0.0378,0.382,128.497
"Damage, Inc. (Remastered)",5X5wkmwPA1rQwtBdh2SNTv,332.466,48,11,0,4,0.000506,0.366,0.848,0.476,0.12,-10.575,0.157,0.162,92.172
"Battery (Live at the Aragon Ballroom, Chicago, IL - May 25th, 1986)",5MPaHxi6OEy4fONENMppzE,231.879,29,0,1,4,0.131,0.312,0.986,0.903,0.611,-9.717,0.0623,0.152,95.861
"Master of Puppets (Live at the Aragon Ballroom, Chicago, IL - May 25th, 1986)",3KBV5vBS4IHHGJUbhEOGmB,498.027,27,4,0,4,0.268,0.283,0.975,0.522,0.706,-9.345,0.125,0.21,116.699
"For Whom The Bell Tolls (Live at the Aragon Ballroom, Chicago, IL - May 25th, 1986)",1qw7mRwbQeqtYEzHcSjHej,254.505,27,9,1,4,0.225,0.203,0.945,0.0625,0.469,-8.955,0.097,0.283,141.182
"Welcome Home (Sanitarium) (Live at the Aragon Ballroom, Chicago, IL - May 25th, 1986)",4zgTI0e8YRXLelOGqOXUik,426.464,24,0,1,4,0.0758,0.245,0.903,0.439,0.87,-10.269,0.148,0.134,121.294
"The Thing That Should Not Be (Live at the Aragon Ballroom, Chicago, IL - May 25th, 1986)",5I8h6gZ2PEAyoZEKxJpU4z,374.753,24,8,1,4,0.234,0.278,0.992,0.227,0.938,-9.37,0.0992,0.0384,125.03
"(Anesthesia) - Pulling Teeth (Live at the Aragon Ballroom, Chicago, IL - May 25th, 1986)",01ilZoPfh3JyL097Ll6SHN,177.253,22,2,1,4,0.893,0.258,0.674,0.802,0.526,-13.341,0.0692,0.291,124.085
"Damage, Inc. (Live at the Aragon Ballroom, Chicago, IL - May 25th, 1986)",39aJnLL9VGNcKBG29j5DdJ,265.269,21,4,0,4,0.0716,0.248,0.988,0.692,0.881,-9.289,0.0976,0.177,97.749
"Fade to Black (Live at the Aragon Ballroom, Chicago, IL - May 25th, 1986)",0nF6TJKROXMxOieBcRPJuv,407.67,24,11,0,4,0.199,0.249,0.925,0.121,0.392,-8.524,0.152,0.334,119.109
"Seek & Destroy (Live at the Aragon Ballroom, Chicago, IL - May 25th, 1986)",7nv45gVMZDS6uCw6KTrKyC,441.604,23,4,0,4,0.163,0.231,0.966,0.237,0.753,-9.212,0.133,0.356,157.456
"Creeping Death (Live at the Aragon Ballroom, Chicago, IL - May 25th, 1986)",6incUowGV7Ag5t2iahKPby,382.278,21,4,0,4,0.108,0.235,0.987,0.624,0.93,-8.677,0.143,0.115,128.81
"The Four Horsemen (Live at the Aragon Ballroom, Chicago, IL - May 25th, 1986)",4ZzMrgihp985dFbgx6JVWQ,320.833,20,0,1,4,0.277,0.244,0.975,0.338,0.623,-8.456,0.122,0.123,124.91
"Guitar Solo (Live at the Aragon Ballroom, Chicago, IL - May 25th, 1986)",4swdbgxSk1fnWiWfwHFRgR,191.859,18,11,0,3,0.879,0.177,0.909,0.793,0.692,-12.495,0.126,0.0846,126.703
"Am I Evil? (Live at the Aragon Ballroom, Chicago, IL - May 25th, 1986)",4qcOwny0o1ipoOzv56p89P,222.403,20,5,1,4,0.13,0.252,0.964,0.677,0.464,-8.75,0.159,0.164,94.484
"Whiplash (Live at the Aragon Ballroom, Chicago, IL - May 25th, 1986)",4234OWTizoFimewbRU4ZYf,284.249,19,0,1,4,0.167,0.101,0.996,0.814,0.953,-8.295,0.123,0.0359,182.056
"Battery (October 1985, Work in Progress Rough Mix)",47IHXOTL3pfPa1XWpexn44,309.019,20,11,0,4,0.0385,0.432,0.874,0.965,0.216,-10.43,0.0471,0.46,97.098
"Master of Puppets (November 1985, Work in Progress Rough Mix)",3Jw2pNF791MKz8i9PBHgRW,523.733,20,0,1,4,0.0819,0.587,0.782,0.959,0.11,-11.042,0.0363,0.663,103.962
"The Thing That Should Not Be (December 1985, Work in Progress Rough Mix)",6QTTL9w1cDoKdRSzkQB3PB,381.63,19,9,1,4,0.00741,0.693,0.638,0.962,0.145,-10.731,0.0343,0.396,111.853
"Welcome Home (Sanitarium) (November 1985, Work in Progress Rough Mix)",28FaQOfbERgJfA7pnsoHbH,389.195,19,0,1,4,0.00906,0.344,0.811,0.964,0.0993,-10.941,0.0379,0.17,94.791
"Disposable Heroes (November 1985, Work in Progress Rough Mix)",04iyAAP6tqUt2hOr5SkIvM,505.845,18,11,0,4,0.0181,0.305,0.726,0.817,0.16,-8.857,0.0532,0.386,89.788
"Leper Messiah (December 1985, Work in Progress Rough Mix)",5VYNcqxIY4LU7ux000wpsT,345.004,18,11,1,4,0.000919,0.421,0.738,0.542,0.392,-8.563,0.0489,0.558,138.032
"Orion (November 1985, Work in Progress Rough Mix)",7gcE1UcCzpoNSQ814E655V,501.53,19,4,1,4,0.033,0.52,0.72,0.945,0.125,-11.207,0.0555,0.277,129.166
"Damage, Inc. (October 1985, Work in Progress Rough Mix)",0mVbZxH0P6fdFqlyzzX59S,254.424,17,1,0,4,0.00969,0.237,0.799,0.962,0.0745,-10.914,0.0548,0.81,187.195
The Money Will Roll Right In (Work in Progress Rough Mix),7HOHbUG5hcihgn8ajkfzU9,176.862,19,9,0,4,0.00483,0.581,0.861,0.967,0.199,-8.768,0.0333,0.779,117.603
The Prince (Work in Progress Rough Mix),37nZWTXxSQPlLbnotBoa2Q,286.026,18,9,0,4,0.000818,0.249,0.872,0.937,0.367,-9.406,0.0688,0.784,157.959
"Battery (1985, from James' Riff Tapes)",4ZOxCp96XlihuKXmx2BoWE,16.325,0,9,0,4,0.972,0.525,0.0571,0.922,0.111,-21.806,0.0407,0.0,112.601
"Battery (1985, from James' Riff Tapes II)",2BPia6vE1uzQk3p604G1yD,67.257,17,11,0,4,0.347,0.354,0.441,0.94,0.142,-11.183,0.0512,0.508,101.694
"Master of Puppets (1985, from Kirk's Riff Tapes)",3dyuqD1AQNS1xLiHthQx8N,37.31,18,0,0,4,0.984,0.337,0.393,0.862,0.465,-20.604,0.0644,0.617,85.31
"Master of Puppets (1985, from James' Riff Tapes)",3BByTcaS9J1NtGEhcQloB9,100.618,18,4,0,4,0.955,0.434,0.249,0.323,0.122,-16.969,0.0569,0.617,96.684
"Master of Puppets (1985, from James' Riff Tapes II)",3PypxDNiBS34SCZLu7h85m,29.031,0,0,1,3,0.308,0.34,0.482,6.9e-05,0.279,-15.011,0.105,0.779,147.365
"The Thing That Should Not Be (1985, from James' Riff Tapes)",74TDqb2WqpApdqXUnPrLDL,34.912,16,4,1,3,0.25,0.735,0.313,0.757,0.107,-19.979,0.124,0.115,92.583
"Welcome Home (Sanitarium) (1985, from James' Riff Tapes)",5RKGoSx78QvZ8ZrkLKNNra,127.267,18,11,0,4,0.733,0.51,0.36,0.911,0.0957,-16.341,0.0321,0.244,96.202
"Welcome Home (Sanitarium) (1985, from James' Riff Tapes II)",2CmtCEy6CZCGzEBgZgLnGl,117.839,17,4,1,4,0.921,0.466,0.504,0.928,0.128,-12.231,0.0913,0.403,104.888
"Disposable Heroes (1985, from Kirk's Riff Tapes)",1d01tTOefejSF0StVRt9xQ,86.955,15,6,0,4,0.995,0.3,0.428,0.441,0.479,-19.03,0.0472,0.833,94.1
"Disposable Heroes (1985, from James' Riff Tapes)",5q1wool6dVVbLoY4d7oTVe,32.333,15,4,1,1,0.97,0.451,0.332,0.592,0.119,-13.652,0.065,0.568,80.717
"Leper Messiah (1985, from James' Riff Tapes)",0rd6MFZ6ySFCNsWBguSxcO,53.555,16,4,0,4,0.715,0.722,0.234,0.842,0.0914,-13.734,0.398,0.299,64.023
"Leper Messiah (1985, from James' Riff Tapes II)",0XvRdpDMy757euox4K6lPj,54.085,16,9,0,4,0.346,0.239,0.304,0.767,0.382,-13.683,0.0388,0.924,141.997
"Orion (1985, from James' Riff Tapes)",5Pz0SnAdVAUUDUUD3YorRC,75.375,18,1,0,3,0.985,0.386,0.277,0.955,0.119,-13.327,0.0288,0.534,76.974
"Damage, Inc. (1985, from James' Riff Tapes)",6jTxt7Na76ARUB1jSK196p,113.859,16,4,0,4,0.122,0.373,0.383,0.728,0.0636,-13.212,0.0827,0.624,97.138
