Amor em Verde e Rosa,1WYZ2Tv6v1HUyQoeuPzNnK,182.6,0,2,1,4,0.556,0.551,0.613,1.62e-06,0.0775,-7.127,0.0349,0.648,90.039
Nossa Casa,2E3ji53ueBqStGORXoNwzx,153.6,0,5,0,4,0.74,0.729,0.441,3.5e-05,0.0567,-8.043,0.0745,0.904,92.068
Brincos de Luz da Aurora,14va8Q6CKBCC5RDLklB0sJ,163.666,0,9,1,4,0.785,0.654,0.509,3.42e-06,0.115,-7.072,0.0328,0.787,152.031
Flor de Alma Viva,6M23K3qTl2IX8RbfqgOLNH,187.626,0,9,1,4,0.654,0.667,0.615,4.24e-06,0.141,-8.086,0.0393,0.808,89.983
Já Clareou,47IkTmQpLkKIlFzcMjzeRF,182.48,0,5,1,4,0.544,0.645,0.589,0.0,0.112,-8.286,0.0523,0.498,109.947
Cabrocha Formosa,4HGUpfe6mqKbBfQp7Or2TZ,242.786,0,2,1,4,0.593,0.687,0.673,6.78e-05,0.0593,-7.008,0.0458,0.921,100.036
Outro Lugar,77cBYSph89OnvtSyMuLpIt,197.44,0,2,1,4,0.557,0.734,0.663,0.000123,0.152,-7.001,0.0424,0.71,106.092
Pedido em Oração,0JoiHJee6rBX63YJsUzWr8,220.76,0,11,0,4,0.588,0.689,0.626,6.99e-05,0.251,-7.618,0.0621,0.782,97.949
Verso de Amor,5DeYlN2iFRU7RfG0zOLk01,218.906,0,8,0,4,0.608,0.674,0.596,0.0,0.0923,-6.862,0.045,0.814,97.051
Livro Aberto,2ATAbGpb4MxBYwQuxTDOE2,159.973,0,2,0,4,0.667,0.61,0.537,5.26e-05,0.0926,-6.762,0.0373,0.846,149.924
