Moanin' At Midnight,0nWFmSvTZmgxGKFxodXgIq,176.573,45,11,0,4,0.884,0.362,0.507,0.00607,0.116,-13.978,0.0463,0.755,93.468
How Many More Years,0MkINaEoNBJfG9G6ewd4xM,163.026,45,7,1,4,0.926,0.657,0.642,0.0165,0.12,-12.98,0.085,0.737,110.543
Smokestack Lightnin',2HUZVffVPXvqnrml0gXggp,188.4,61,9,0,4,0.844,0.661,0.342,0.000128,0.26,-16.361,0.043,0.588,146.118
Baby How Long,7qAUeIKdz6LEdP6K8y2GLo,175.466,30,5,1,4,0.493,0.622,0.507,3.35e-05,0.0626,-15.561,0.0459,0.771,130.973
No Place To Go (You Gonna Wreck My Life),6TtZ5COn8TGuCJOHaoh9ey,178.733,29,11,0,4,0.571,0.707,0.184,1.23e-05,0.175,-16.146,0.0362,0.745,135.753
All Night Boogie (All Night Long),6UXUwb2mZK0LFsColT6uup,135.6,27,0,1,4,0.982,0.472,0.375,0.0172,0.26,-16.597,0.0577,0.955,98.144
Evil (Is Going On),7LdbDjg6esKNAsnFElpFnB,173.706,38,0,1,3,0.764,0.5,0.256,0.000308,0.0754,-19.64,0.185,0.726,159.608
I'm Leavin You,3CDa8cJPIxA2jFiwqzFyzb,180.96,28,0,1,4,0.899,0.69,0.444,0.00622,0.187,-14.451,0.0443,0.763,110.95
Moanin' For My Baby,3GVbKBdl5s9ZqSONTBCf9H,171.506,29,5,1,4,0.921,0.443,0.445,0.000155,0.112,-12.895,0.0291,0.543,145.591
I Asked For Water,0aT9f7DKBo3SsYHSMrtOGD,172.626,31,4,1,4,0.977,0.696,0.153,0.00138,0.12,-19.335,0.0399,0.386,110.749
Forty Four,02Ub2Xv4Vs3UEthDciGPvq,170.0,28,0,1,4,0.739,0.757,0.441,0.558,0.141,-15.771,0.0325,0.59,140.141
Somebody In My Home,5erxBnOBoDNexTUrrXOhCA,146.866,26,9,1,4,0.782,0.638,0.252,0.0906,0.144,-18.639,0.0361,0.551,111.573
