Ooh Mama Ooh,1ojY44GFmQlQGmabWEhVdo,146.173,10,9,1,4,0.154,0.387,0.575,1.77e-06,0.464,-13.977,0.179,0.688,143.151
Ain't That a Shame,3hXjk7QfdfLmufrtVOKhlZ,148.84,13,2,1,4,0.38,0.524,0.495,0.000817,0.105,-13.114,0.029,0.912,170.146
I Am Not Willing,31ZZgmpd7LA4vdDplWgUUD,178.84,36,7,1,4,0.243,0.404,0.5,1.81e-05,0.0966,-13.134,0.0292,0.444,139.984
It's a Beautiful Day Today,4GFslq4BGHrBicUQuvbAw2,186.04,19,11,1,4,0.863,0.331,0.441,0.0634,0.132,-14.67,0.0308,0.645,114.307
Hoochie,5h24Y4XhpZGsVskutgkB6N,261.373,10,2,1,4,0.0808,0.256,0.65,0.0133,0.143,-11.285,0.0478,0.278,144.165
Trucking Man,1hNLQZz72DJojekG9CUDcn,120.013,7,1,1,4,0.00973,0.47,0.633,0.0111,0.121,-11.427,0.0378,0.701,148.945
If You Can't Learn from My Mistakes,73DQMESgGkOUXSOpYsPKsm,153.4,8,0,1,4,0.674,0.273,0.65,0.00365,0.0745,-10.77,0.0541,0.793,182.211
Captain Nemo,4bEHBlf8U2FHwh5pn6IxzU,103.866,7,9,1,4,0.0332,0.296,0.708,0.000676,0.0731,-8.759,0.0387,0.716,164.362
What's To Choose,15PK0PizzsZYbFmFVsiUm0,117.32,8,7,1,4,0.943,0.469,0.315,0.000121,0.154,-14.397,0.0425,0.434,139.672
Going Nowhere,3mcMRIM76pq3F8kfqyag18,121.946,11,9,1,4,0.173,0.286,0.615,0.0,0.355,-11.08,0.0297,0.63,162.057
Seeing,3v9Hdk1QaLGB6oxsKtwIC6,224.373,10,0,1,3,0.208,0.221,0.462,0.273,0.136,-10.658,0.0335,0.214,90.248
Soul Stew,2wkgcX8uGo4y68fx2x08Kz,136.546,7,9,1,4,0.448,0.474,0.956,4.65e-05,0.211,-7.049,0.139,0.429,125.816
If You Can't Learn From My Mistakes - Demo,4orc7ftdD4V6wDWVagB8gX,84.0,6,0,1,4,0.863,0.509,0.316,1.59e-05,0.14,-15.649,0.0489,0.267,86.672
You Can Do Anything - Demo,2IAbH3bLIen5aIJ7i4AZTp,215.506,6,2,1,4,0.154,0.396,0.678,0.269,0.175,-10.513,0.0285,0.815,100.578
It's a Beautiful Day Today - Demo,55hV3NVYgJ1N5AknN796u8,252.986,6,3,0,4,0.861,0.498,0.174,0.0115,0.117,-20.662,0.0285,0.255,114.709
What's To Choose - Previously Unissued,2nQ79xjft1ueJCfpkyXJ0I,199.573,5,7,1,4,0.235,0.388,0.483,0.287,0.0906,-11.168,0.0319,0.581,161.609
Big - Demo,0Q1YKIxeuiMkS41ScTOPC9,139.986,5,1,1,4,0.709,0.507,0.259,0.0,0.109,-12.825,0.0545,0.291,70.869
Hoochie - Demo,1sh9NElthGjMUNLTf55tua,198.666,3,9,1,4,0.162,0.409,0.731,0.000278,0.189,-9.67,0.0706,0.626,138.779
