And It Stoned Me - 2013 Remaster,0pLt4z90EzbN7lY9lky1Z9,272.16,54,7,1,4,0.35,0.593,0.468,3.52e-05,0.0919,-11.165,0.0285,0.597,75.798
Moondance - 2013 Remaster,6KHNMPZTSif1zFbFKErpNU,274.04,54,9,0,4,0.501,0.606,0.282,8.3e-06,0.152,-12.207,0.0339,0.563,67.409
Crazy Love - 2013 Remaster,5aN9SeqAtly2NriV7tMjrI,155.453,54,9,1,4,0.841,0.575,0.188,4.37e-05,0.228,-18.758,0.0959,0.334,77.464
Caravan - 2013 Remaster,53DfWyh0C0rJUGpsmtdRc1,300.8,43,7,1,4,0.294,0.641,0.397,0.000717,0.0496,-12.285,0.0454,0.57,81.962
Into the Mystic - 2013 Remaster,3lh3iiiJeiBXHSZw6u0kh6,205.613,74,8,1,4,0.367,0.608,0.524,0.00254,0.115,-10.266,0.0309,0.797,86.204
Come Running - 2013 Remaster,340k3JIT2OD06pNNpH38KW,151.333,42,9,1,4,0.253,0.656,0.594,0.000905,0.119,-10.991,0.0376,0.778,98.356
These Dreams of You - 2013 Remaster,4eJqIAwc78N603UffIOc5A,231.666,43,7,1,4,0.0763,0.677,0.388,0.00014,0.106,-12.496,0.0471,0.828,114.239
Brand New Day - 2013 Remaster,2D5bUcNHDDMvXcd0jKWhtk,310.68,41,7,1,4,0.566,0.629,0.334,4.91e-05,0.0978,-13.02,0.0288,0.514,134.132
Everyone - 2013 Remaster,1NdpYN5GCJSnj3S3mrxOcS,212.253,39,7,1,3,0.0713,0.418,0.534,0.000689,0.143,-9.841,0.0326,0.727,160.026
Glad Tidings - 2013 Remaster,1V3Eip6APhGPat25IFCqzB,220.066,40,7,1,4,0.119,0.543,0.555,1.18e-05,0.126,-11.747,0.0312,0.813,160.71
