Thank You for Sending Me an Angel - 2005 Remaster,6aotqfVLywWWF4ZqdmLmig,131.56,35,0,1,4,0.0419,0.565,0.856,0.0415,0.119,-5.465,0.0533,0.47,138.026
With Our Love - 2005 Remaster,7y0sJmJv3ZtDeeHnPlCHEe,210.8,39,7,1,4,0.118,0.688,0.719,0.000729,0.0715,-6.876,0.0348,0.853,127.437
The Good Thing - 2005 Remaster,5KRtiPYvYDqE8MysJmDOut,183.186,39,7,1,4,0.476,0.83,0.611,0.00096,0.297,-6.811,0.0333,0.791,127.051
Warning Sign - 2005 Remaster,7iVvBKwYlXvDbc3mKzccjq,234.12,39,7,1,4,0.0956,0.667,0.748,0.000245,0.363,-7.437,0.058,0.773,129.001
The Girl Wants to Be with the Girls - 2005 Remaster,3tAFhUlDu5rRmpKDsw0oCn,158.106,40,4,0,4,0.0175,0.647,0.682,0.161,0.228,-8.178,0.0338,0.926,130.094
Found a Job - 2005 Remaster,2apaMCyIgaoADhLyHKD0qS,301.066,34,2,1,4,0.227,0.706,0.831,0.000299,0.216,-6.286,0.0297,0.964,121.784
Artists Only - 2005 Remaster,18VUNjOq2uRYxZP6nQGJva,214.8,31,9,1,4,0.0205,0.414,0.601,0.0107,0.0876,-9.978,0.0296,0.403,132.055
I'm Not in Love - 2005 Remaster,32zRqFKTUle2TW1kUPbYpq,274.133,32,10,0,4,0.00368,0.529,0.701,0.00344,0.0636,-9.597,0.185,0.482,136.827
Stay Hungry - 2005 Remaster,3PFWYIrlbpBZq7ytWVjCQt,159.933,30,2,0,4,0.322,0.655,0.801,0.271,0.145,-8.345,0.0326,0.661,124.781
Take Me to the River - 2005 Remaster,1oV1tu8utgHQjLJsEK9sVl,302.52,59,2,1,4,0.242,0.66,0.485,0.0102,0.0585,-8.101,0.0258,0.829,99.828
The Big Country - 2005 Remaster,6jvNnYLscndCf0fPJB1pms,333.386,48,10,1,4,0.166,0.71,0.558,0.00121,0.237,-8.148,0.0307,0.834,111.152
Stay Hungry - 1977 Version; 2005 Remaster,4IED16tkbYyvxJOL7m0sFR,224.72,26,4,0,4,0.0115,0.888,0.648,0.00381,0.0903,-8.925,0.0377,0.785,129.62
I'm Not in Love - Alternate Version,5oPDlBLj3uG1ceqF6KETSA,315.386,25,11,0,4,0.0505,0.57,0.64,0.000504,0.599,-7.878,0.0723,0.812,129.292
The Big Country - Alternate Version,44EJYe0cXrC23209DUkuxf,301.466,25,0,1,4,0.0867,0.795,0.463,6.02e-05,0.0772,-9.741,0.0341,0.855,122.172
Thank You for Sending Me an Angel - Country Angel Version,3zKDtOWLdWO31W4RhehHet,131.906,24,0,1,4,0.15,0.621,0.796,0.000273,0.491,-8.131,0.0358,0.741,138.188
