All the Way from Memphis,5lP2EYWk8LFUkM0grPWUFT,302.56,44,1,1,4,0.0427,0.522,0.833,0.00454,0.605,-8.688,0.0401,0.558,137.127
Whizz Kid,7iJlURgOSuB1rb1wr5ohYW,205.173,21,0,0,4,0.02,0.369,0.582,0.0,0.409,-10.165,0.0464,0.597,146.363
Hymn for the Dudes,6cwi0zGbWjZy8Vgh9cAhIN,323.733,20,7,1,4,0.402,0.402,0.323,0.000127,0.0739,-12.971,0.0431,0.283,114.589
Honaloochie Boogie,3cgms7iyT9bgMEl3PT02oN,163.2,28,0,1,4,0.0781,0.518,0.779,5.86e-05,0.263,-9.327,0.0458,0.719,119.846
Violence,6tVZqwGWmXHGqXcMrvROoj,288.133,16,2,1,4,0.038,0.4,0.726,0.000439,0.22,-8.633,0.121,0.315,132.162
Drivin' Sister,4mcXdd6tAKZ2AV4TeOyCX8,233.173,18,2,1,4,0.006,0.408,0.647,0.0,0.178,-11.756,0.0501,0.623,133.767
Ballad of Mott The Hoople,6dU5h5pvEUoTnOTfzHOF1r,324.2,21,7,1,4,0.0705,0.388,0.442,0.00179,0.0693,-11.749,0.0284,0.342,108.819
I'm a Cadillac / El Camino Dolo Roso,59lGYKsi2un2LHkzPYDuWL,470.8,16,4,0,4,0.0429,0.446,0.485,0.22,0.195,-12.783,0.0427,0.248,133.76
I Wish I Was Your Mother,4gXiYX23JvDrr6LWZfng8v,291.8,29,9,1,4,0.129,0.497,0.507,0.000318,0.122,-11.696,0.0381,0.733,122.186
Rose,2JQjSQ1WRTKZIuIJX2S7PM,236.493,13,2,1,4,0.665,0.397,0.135,0.179,0.109,-17.163,0.0342,0.0849,110.687
Honaloochie Boogie - Demo Version,675BOocthmPSecN9vJ7QLV,186.866,11,0,1,4,0.00507,0.293,0.728,0.0,0.126,-7.81,0.0323,0.399,103.304
Nightmare - Demo Version,1kAXXpX6JxSoLm4lDcMSmj,216.306,10,0,1,4,0.0714,0.384,0.646,0.333,0.146,-8.367,0.0325,0.439,120.802
"Drivin' Sister - Live at the Hammersmith Odeon, London, UK - 1973",1zS1PLgQ209RYzj7Z5JnpR,270.426,10,2,1,4,0.00202,0.293,0.729,0.00129,0.433,-11.321,0.0675,0.449,136.847
