I Got My Brand On You - Live At Newport Jazz Festival/1960,6qh6Ik9Ujjw2VGkEFVVNVn,290.333,28,5,1,4,0.849,0.619,0.613,0.000977,0.961,-7.857,0.103,0.485,70.16
I'm Your Hoochie Coochie Man - Live At Newport Jazz Festival/1960,32jrycBSTj4n3kmOPeuABE,177.733,20,2,0,4,0.841,0.535,0.485,8.14e-05,0.739,-8.115,0.158,0.67,71.875
"Baby, Please Don't Go - Live At Newport Jazz Festival/1960",2mWeBfeGMAFRWnzjxBSyFo,184.826,27,2,0,4,0.782,0.438,0.844,0.0,0.701,-7.389,0.128,0.512,157.062
Soon Forgotten - Live At Newport Jazz Festival/1960,0y4UCDBgCMGwJKmjC8Hnnw,257.695,19,5,1,3,0.883,0.399,0.467,0.000728,0.743,-9.682,0.109,0.535,186.505
Tiger In Your Tank - Live At Newport Jazz Festival/1960,0Dmm0xPxoKXrSbkj2fN9EG,272.693,18,4,1,4,0.674,0.584,0.85,0.0,0.646,-7.477,0.159,0.536,124.288
I Feel So Good - Live At Newport Jazz Festival/1960,4h4YIUqwVbVUsLiWSDMzZG,181.951,16,2,0,4,0.674,0.493,0.858,0.0,0.513,-6.652,0.159,0.276,133.424
I've Got My Mojo Working - Live At Newport Jazz Festival,1tsXh39Dn2eyDvtSa0QXdS,267.56,23,11,0,4,0.572,0.471,0.813,0.0,0.672,-7.353,0.214,0.365,129.631
"Got My Mojo Working - Pt. 2 / Live At Newport Jazz Festival, 1960",4OawaUCUuuImqCwRNeaRmZ,175.84,18,9,1,4,0.636,0.483,0.843,4.9e-06,0.361,-6.358,0.215,0.541,132.605
Goodbye Newport Blues - Live At Newport Jazz Festival/1960,6hu9c0NhEhSJqtH4b1KDK8,293.026,17,9,0,3,0.812,0.386,0.334,0.000297,0.563,-13.267,0.0681,0.412,171.499
I Got My Brand On You,3aqmOtrmDCHAAYqvtTiEwB,142.8,20,2,1,4,0.725,0.647,0.709,3.46e-05,0.148,-5.329,0.0538,0.802,112.995
Soon Forgotten,4ASHM48Ufi1bEjJttPdxZC,161.266,15,9,1,3,0.445,0.266,0.598,2.79e-06,0.0702,-6.187,0.0416,0.604,184.062
Tiger In Your Tank,23QBmaLbigELx64ucbM2EO,137.066,21,9,1,4,0.117,0.6,0.921,8.75e-05,0.184,-6.139,0.0662,0.466,137.001
Meanest Woman,2Uh8QVIKuZHcw7Swrsec3w,138.44,15,11,0,4,0.701,0.404,0.846,0.0,0.434,-4.728,0.0561,0.723,114.867
