Big In Japan,7wrid74YIxL3YilXHYIfjQ,245.173,38,1,1,4,0.384,0.859,0.915,0.127,0.126,-7.365,0.0771,0.804,112.811
Lowside Of The Road,3tWo6F0yRTm6HBhVgHY5CF,179.453,36,1,1,4,0.985,0.478,0.334,0.583,0.122,-13.359,0.056,0.566,79.276
Hold On,3GlYv2EDC7EBoslv2dOE0G,333.626,52,2,1,4,0.883,0.454,0.247,0.000195,0.257,-13.797,0.0402,0.654,149.603
Get Behind The Mule,2AubgBKOuNH8CF2v776uuV,412.453,38,2,1,4,0.714,0.727,0.3,0.0345,0.119,-12.09,0.0558,0.251,145.068
House Where Nobody Lives,2M5h6x9knOBwTNaekXCsaW,254.28,42,3,1,3,0.89,0.5,0.206,0.0,0.107,-12.857,0.0354,0.457,93.394
Cold Water,4fLJXSNaiUAJterINCu90e,323.026,34,9,1,4,0.526,0.41,0.439,1.2e-06,0.114,-8.619,0.0482,0.515,87.566
Pony,6C6Qyp5manAlJsMUpJSE88,272.613,38,1,1,3,0.949,0.323,0.179,1.77e-05,0.152,-12.777,0.0324,0.254,87.709
What's He Building?,2SkY1MBAolcLSpWDWCP7Kd,200.28,38,10,0,3,0.511,0.452,0.606,3.22e-06,0.464,-16.676,0.495,0.142,108.177
Black Market Baby,2sGf6n3qINFXXO5siGec73,302.44,29,8,0,1,0.821,0.414,0.51,0.00735,0.292,-10.357,0.0509,0.389,108.75
Eyeball Kid,4OUrrO4JYfB4BAF6Nq1d2S,265.906,29,1,1,4,0.769,0.721,0.732,0.0614,0.684,-7.793,0.141,0.484,122.785
Picture In A Frame,1bW2zCcw71ryrAcliuy8Le,219.946,43,3,1,5,0.923,0.409,0.209,0.000569,0.133,-13.452,0.0331,0.289,130.015
Chocolate Jesus,6i0C8nAgzPr3vhbOMnDgTK,235.04,42,10,0,4,0.746,0.719,0.261,8.5e-05,0.104,-13.271,0.121,0.453,104.862
Georgia Lee,6R6sU1K1nDyWwSsBPVKsXr,264.373,31,1,1,3,0.825,0.346,0.204,0.000929,0.11,-10.474,0.0314,0.363,80.108
Filipino Box Spring Hog,6txrVRhLS5ItgOZ6oNyCAv,189.906,30,11,1,4,0.565,0.633,0.934,0.0,0.813,-6.325,0.259,0.303,144.865
Take It With Me,2873vNl0teoOfvycXFwoEb,264.946,40,1,1,4,0.976,0.379,0.117,7e-05,0.116,-17.009,0.0367,0.32,119.65
Come On Up To The House,7zhbOCrOKbncbqKvSwQx9R,276.92,46,3,1,4,0.619,0.562,0.497,0.518,0.116,-8.522,0.0333,0.514,90.033
