Welcome To The Working Week,39rkLB2TEENIvhwAlRC5ae,83.053,40,4,1,4,0.0617,0.505,0.701,8.83e-06,0.139,-7.895,0.245,0.78,149.033
Miracle Man,4PMmRKupIkdHQzSNxCPP1C,211.373,34,1,0,4,0.0459,0.672,0.772,0.000123,0.188,-8.507,0.0383,0.865,120.685
No Dancing,3OpGDkWaWJJ9yVHon3tIlY,160.706,28,2,1,4,0.0972,0.468,0.619,9.22e-05,0.249,-9.426,0.0506,0.878,128.928
Blame It On Cain,5BpsDaMPLAMlEakrK4mBiK,169.76,30,7,1,4,0.218,0.641,0.677,0.0,0.293,-9.027,0.101,0.831,123.994
Alison,1v98rfd0an913AzHvMNG8a,204.533,59,1,0,4,0.739,0.557,0.32,3.99e-05,0.112,-10.792,0.0438,0.377,176.647
Sneaky Feelings,4GFc40Au3iOJsPDnsPiChb,131.186,29,4,0,4,0.217,0.653,0.576,0.000362,0.0854,-9.034,0.0431,0.795,129.72
(The Angels Wanna Wear My) Red Shoes,0GmLrYUBXDC5vti77zBZfJ,167.68,37,4,1,4,0.0556,0.577,0.636,0.00016,0.226,-9.825,0.0491,0.901,134.768
Less Than Zero,3AaPC1M5Vsvt8AcpVlHpsL,198.906,37,5,1,4,0.429,0.794,0.489,4.58e-06,0.0648,-10.309,0.0596,0.924,112.779
Mystery Dance,0IkinTXRKs9CXkOncy4ZKZ,95.866,29,5,1,4,0.593,0.528,0.856,2.19e-06,0.453,-7.235,0.0725,0.726,89.326
Pay It Back - \,0CXWtURZfKuBDL8Xyr8G7s,152.653,26,7,1,3,0.238,0.8,0.648,4.4e-06,0.0851,-9.547,0.0378,0.871,131.106
I'm Not Angry,0nKGm3Bsv1LesjCBdBwEWi,179.32,27,1,0,4,0.143,0.546,0.817,0.113,0.311,-8.62,0.063,0.764,139.365
Waiting For The End Of The World,3nSgRpyy7gujpUSIsdECvO,202.893,41,0,1,4,0.0806,0.742,0.669,1.73e-05,0.129,-9.394,0.101,0.84,114.196
Watching The Detectives - Single Version,0KrYPz4S4mKHeBjCwYJp0s,226.04,53,9,0,4,0.0135,0.793,0.362,1.77e-05,0.216,-12.146,0.0592,0.811,133.353
