Dark Fantasy,7yNK27ZTpHew0c55VvIJgm,280.786,67,5,1,4,0.274,0.599,0.587,0.0,0.167,-5.919,0.0423,0.373,87.998
Gorgeous,23SZWX2IaDnxmhFsSLvkG2,357.653,68,6,0,4,0.0207,0.598,0.713,0.000175,0.431,-3.625,0.0326,0.118,91.964
POWER,2gZUPNdnz5Y45eiGxpHGSc,292.093,79,0,0,4,0.0161,0.542,0.914,0.0,0.744,-4.747,0.113,0.576,153.993
All Of The Lights (Interlude),4D6TpthzUVNTjWQqfBW5Kb,62.253,59,10,0,3,0.902,0.296,0.0792,0.591,0.128,-16.569,0.0389,0.496,110.95
All Of The Lights,22L7bfCiAkJo5xGSQgmiIO,299.613,75,1,1,4,0.0796,0.531,0.803,1.71e-05,0.176,-3.284,0.0717,0.221,142.113
Monster,1ZHYJ2Wwgxes4m8Ba88PeK,378.893,72,2,1,5,0.00244,0.628,0.692,0.0129,0.668,-5.64,0.202,0.0963,124.887
So Appalled,6K07Ahf6V7CAQn0ikrOztl,397.666,61,1,0,4,0.255,0.64,0.754,0.0,0.63,-5.873,0.283,0.584,87.15
Devil In A New Dress,1UGD3lW3tDmgZfAVDh6w7r,351.946,71,8,0,4,0.0175,0.435,0.76,0.0,0.158,-4.935,0.0721,0.206,80.082
Runaway,3DK6m7It6Pw857FcQftMds,547.733,73,1,0,4,0.219,0.374,0.568,0.00219,0.513,-3.825,0.109,0.111,84.733
Hell Of A Life,3rCNmRonlHN1TXQLcG3dSk,327.786,61,8,1,4,0.00142,0.449,0.813,0.000172,0.106,-5.478,0.129,0.452,177.962
Blame Game,4EndPA8b6FDWYp1RgsnLEB,469.866,60,10,0,1,0.306,0.419,0.581,6.3e-05,0.11,-5.964,0.0688,0.636,80.305
Lost In The World,2Im64pIz6m0EJKdUe6eZ8r,256.586,62,5,0,4,0.115,0.608,0.746,0.0087,0.427,-5.249,0.184,0.277,117.072
Who Will Survive In America,4e5IPJxSGVWPsaxQzdRseN,98.2,54,1,1,4,0.228,0.677,0.842,0.000684,0.856,-6.111,0.36,0.595,116.166
