Jealous,6tNnz0d4tijmTed5YB434Q,151.704,65,8,0,4,0.093,0.836,0.612,0.0,0.102,-9.781,0.394,0.39,166.087
Blood Walk,5GzA5A7JD6ZIJSx8HC2PSR,160.143,68,2,1,4,0.107,0.876,0.475,0.0,0.148,-9.117,0.334,0.22,107.952
Traumatized Interlude,5Z0O7vPKH3RRarHbYl5Uwg,9.359,0,9,1,0,0.957,0.0,0.0314,0.0,0.137,-15.88,0.0,0.0,0.0
Out On Bail,5xZIUAc75cK9Q6hIwWBSbI,150.2,63,10,0,4,0.0151,0.733,0.567,0.0,0.103,-6.407,0.299,0.386,203.907
Rodeo,04gB2NYWm9swlor2ZPcB9k,181.817,65,2,1,4,0.00429,0.752,0.646,0.0,0.179,-8.552,0.0593,0.395,139.981
SWAG,5habTtFTtdeDrMfqzJPHES,151.752,60,8,0,4,0.0184,0.864,0.578,2.08e-06,0.0479,-7.07,0.338,0.803,157.866
Hate On Me,5pfc6IfuLHk69BTVy82onc,165.414,63,4,0,4,0.224,0.808,0.607,0.0,0.0657,-9.625,0.311,0.358,99.921
War Scars,10Q1Cp4nUUiK6CjrmI5ePp,203.797,56,1,0,4,0.0241,0.747,0.529,0.0,0.211,-9.752,0.162,0.545,151.656
Surgery,3RniWkfPXJGxxM4IeBBRCe,216.953,63,6,1,4,0.184,0.88,0.436,0.0,0.278,-10.07,0.108,0.501,124.063
Thug Kry,2P8eDGMraUEywvA3YeFsKh,213.142,57,6,0,4,0.0392,0.557,0.445,0.0,0.408,-10.841,0.47,0.478,156.111
Traumatized Interlude #2,18uwhBztsMaoqRbVaaArTC,11.615,0,6,1,0,0.991,0.0,0.152,0.000455,0.636,-16.022,0.0,0.0,0.0
FTP,23H42Mm5VsW2Z3BTza5Hbb,160.893,55,9,1,4,0.0162,0.803,0.504,4.76e-05,0.408,-8.738,0.211,0.405,99.956
Laugh Now Kry Later!,1FqBYUGthjUB3WQEQ0g2Ka,174.647,56,4,0,4,0.119,0.928,0.404,5.9e-05,0.119,-10.14,0.293,0.0955,110.066
