Sou + Você,5G1T3Cj4vP7uiGMUb278ut,108.426,52,4,0,3,0.927,0.603,0.687,0.0,0.65,-9.872,0.738,0.321,110.187
Vivão e Vivendo,2igfCmo0TuciHyKMB8zWrr,117.666,42,11,0,4,0.591,0.495,0.886,0.0,0.615,-3.737,0.474,0.864,172.997
Vida Loka (Intro),7ATfKy3NYMRfK5JZvFQJYX,24.106,2,8,0,4,0.0203,0.863,0.243,0.696,0.101,-17.194,0.269,0.739,160.107
"Vida Loka, Pt. 1",6m8AgjfI28ER6odzMxmHtR,303.56,66,4,1,4,0.544,0.569,0.592,0.0,0.79,-8.557,0.39,0.752,82.38
Negro Drama,3ytXzEJFeVydFfmUhHvti8,411.866,65,7,0,4,0.275,0.858,0.733,0.0,0.152,-7.292,0.305,0.801,157.38
A Vítima,2ki0ZW9m5HIAdALRldfXM1,440.0,47,1,1,4,0.285,0.861,0.52,1.88e-05,0.129,-8.458,0.26,0.675,82.342
Na Fé Firmão,0TYKO6toBeKLbyD18AVTNU,365.133,42,11,1,4,0.557,0.873,0.765,0.0,0.0592,-5.254,0.437,0.948,90.014
12 de Outubro,4Nqj9K6kxvIr4PnvtI1RRA,210.706,40,4,1,3,0.957,0.692,0.206,0.0,0.117,-18.196,0.771,0.474,81.896
Eu Sou 157,33UECsx4DcDRampb2ah316,529.733,58,10,0,4,0.15,0.904,0.605,0.0,0.0684,-5.873,0.279,0.749,85.983
A Vida É Desafio,4mZu6NuOntvYZqCZPrxTqT,433.2,62,0,1,4,0.81,0.702,0.918,0.0,0.203,-5.352,0.416,0.555,151.42
"1 por Amor, 2 por Dinheiro",0VQ1mXWqoXynNmc0wdligL,418.56,53,10,0,4,0.142,0.842,0.686,0.0,0.377,-4.52,0.359,0.81,92.984
De Volta À Cena,16oVqtzrcrdzQvtIRnA2Wx,121.853,41,9,1,4,0.567,0.794,0.752,0.0,0.479,-7.935,0.853,0.32,158.133
Otus 500,3tuMjoF61Uo54BPVzV4e0d,131.253,41,11,0,4,0.408,0.931,0.763,0.0,0.214,-5.078,0.291,0.683,94.986
Crime Vai e Vem,29JxbOQf5YFFpqWgNauToo,475.773,51,1,1,1,0.378,0.592,0.683,0.0,0.657,-6.509,0.414,0.87,83.459
Jesus Chorou,5wZUvwWGKaZ6NG8yckZcTM,471.253,63,11,0,4,0.155,0.796,0.824,2.47e-05,0.355,-5.448,0.355,0.75,167.926
Fone (Intro),1QEit92Juvj8i9QrM60gpn,116.306,38,4,1,5,0.912,0.62,0.397,0.0,0.163,-8.956,0.33,0.673,90.259
Estilo Cachorro,2tR8iLdCeYhVcyPZvN6T7X,377.613,60,1,1,4,0.483,0.819,0.721,0.0,0.188,-4.295,0.344,0.728,86.042
"Vida Loka, Pt. 2",4nTrxp4aH0g2yLVPkFmljF,350.56,64,1,0,4,0.133,0.655,0.653,0.00813,0.203,-7.2,0.273,0.433,82.1
Expresso da Meia-Noite,6CI6QHlg9ejvkWOTOni5oX,321.546,52,1,1,4,0.139,0.821,0.457,0.0,0.152,-7.341,0.42,0.0944,85.593
Trutas e Quebradas,6xmtjVIcjMRdgdB1sywkjb,377.706,38,0,1,4,0.944,0.567,0.406,1.19e-05,0.265,-10.929,0.526,0.592,95.132
Da Ponte pra Cá,77ZXEJcwC7r4gfodNwERJz,527.36,61,10,0,4,0.107,0.742,0.728,0.0,0.0848,-5.563,0.608,0.695,79.921
