Lively Up Yourself,2Xr3NXOz1qg5Jddkm8k4fr,310.426,51,7,1,4,0.204,0.843,0.431,0.00132,0.0546,-12.012,0.331,0.881,128.697
No Woman No Cry,3PQLYVskjUeRmRIfECsL0X,226.24,59,0,1,4,0.159,0.898,0.365,9.28e-06,0.132,-10.452,0.0462,0.563,98.53
Them Belly Full (But We Hungry),2Ezmm08Oy4772SkEoC18Kt,193.226,52,9,0,4,0.359,0.759,0.475,3.85e-06,0.105,-8.201,0.271,0.644,140.153
Rebel Music (3 O'Clock Roadblock),59pu889a9uhzLvrQXvY2d0,405.666,49,2,1,4,0.419,0.714,0.469,0.000589,0.12,-11.136,0.104,0.84,148.427
So Jah S'eh,7IlIYk9v4YKWqwwXU5IVrn,268.0,45,11,0,4,0.336,0.833,0.452,0.0157,0.0611,-9.838,0.136,0.888,76.232
Natty Dread,2fvi4GCSJn9XYdYrLGLX5f,215.666,50,9,1,4,0.424,0.773,0.439,0.000126,0.0464,-9.778,0.327,0.847,88.364
Bend Down Low,4sF8TQcxIsXNNr9h2uP7bs,199.706,45,0,1,4,0.302,0.84,0.548,0.0196,0.101,-9.175,0.0997,0.8,88.138
Talkin' Blues,7KrAiHN2sPEUdOpTGWIqtU,246.933,45,9,1,4,0.158,0.78,0.479,0.0,0.107,-8.317,0.224,0.647,140.773
Revolution,6ov9jUFP4JzxrCoOk2tpzT,260.746,40,9,0,4,0.221,0.61,0.567,9.47e-05,0.176,-7.934,0.128,0.678,144.342
Am-A-Do,44KeL3vMWERIrFqJMQGpff,200.066,36,0,1,4,0.455,0.783,0.456,5.89e-06,0.0863,-8.772,0.09,0.895,139.692
