Nebraska,7GDIQqD5pdHCda5rpZ98Ie,269.813,50,6,1,4,0.552,0.377,0.0687,0.0239,0.383,-15.9,0.0326,0.151,129.486
Atlantic City,1Vp8U39YNsDfd6yVuaUq12,236.653,57,4,1,4,0.311,0.475,0.429,0.0,0.376,-10.577,0.0367,0.34,108.034
Mansion On the Hill,4eQQGTTbcKl5abbaIM0OxW,244.866,42,2,1,4,0.29,0.338,0.0877,0.000214,0.209,-16.8,0.0327,0.178,124.858
Johnny 99,2ohcpZDvcIRdCE3lWxu6Tc,218.24,48,6,1,4,0.262,0.332,0.411,0.0,0.127,-9.814,0.0482,0.137,158.33
Highway Patrolman,408tTuSDxIr3zDR90Zmcw2,336.4,42,6,1,4,0.778,0.478,0.0423,3.58e-05,0.109,-20.078,0.0306,0.192,104.267
State Trooper,1Ulh5rWbhhV3PltDadTBZC,191.293,46,6,0,4,0.898,0.693,0.0681,0.0191,0.127,-19.554,0.0433,0.599,120.641
Used Cars,1LDz5dqGxxWSOxNWjuzclb,188.08,40,6,0,4,0.407,0.38,0.0525,0.000907,0.135,-18.479,0.0386,0.186,116.12
Open All Night,6puA3V4iUFow4GMGFDf7qF,173.813,40,6,1,4,0.752,0.648,0.386,0.0,0.213,-12.459,0.0395,0.542,144.129
My Father's House,20mvEa8wRNsdU7diadzRGg,303.96,40,2,1,3,0.758,0.277,0.0732,1.77e-05,0.115,-18.396,0.038,0.335,144.459
Reason to Believe,7tRIpQDyq22qkjdk4mzBrq,250.8,40,10,0,4,0.901,0.504,0.0645,0.0091,0.342,-17.228,0.0467,0.13,135.034
