Holidays in the Sun,2e4RcQohKWo8oZIUfjxiGo,202.8,43,7,1,4,0.143,0.209,0.979,6.95e-05,0.319,-4.791,0.213,0.219,147.9
Bodies,21MwEJ8tHezcPy77BaELJ6,183.0,40,9,1,4,0.0324,0.157,0.989,3.38e-05,0.337,-5.065,0.222,0.196,157.609
No Feelings,4GtIKUB1Q5O65ofahYPRfX,171.173,37,5,1,4,0.0315,0.286,0.961,3.91e-06,0.3,-5.743,0.18,0.592,164.291
Liar,2Hs7YqZwFEPIxRTnqtrHvP,161.533,33,2,1,4,0.00632,0.343,0.962,5.92e-05,0.0852,-4.984,0.0612,0.312,149.067
Problems,4AqfCW0jMeByTMZdoqHlH4,251.36,33,2,1,4,0.00467,0.231,0.968,0.000252,0.359,-5.322,0.15,0.195,154.447
God Save the Queen,6ui6l3ZNvlrGQZArwo8195,200.08,50,9,1,4,0.00103,0.274,0.908,0.00219,0.154,-5.419,0.0691,0.483,148.246
Seventeen,0PgpDLsbk8wnYpgMCynGLz,122.706,31,9,1,4,0.0667,0.347,0.922,0.635,0.181,-6.523,0.0487,0.532,144.004
Anarchy in the U.K.,3LoDeIbiR12sAznmpNEmKA,211.973,54,5,1,4,0.0422,0.323,0.978,0.00019,0.201,-3.841,0.118,0.168,134.222
Sub-Mission,6jjASY7DtqLdM0zJbAQcnX,252.68,34,5,1,4,0.0179,0.363,0.873,0.000713,0.153,-5.216,0.0472,0.559,122.887
Pretty Vacant,2mKj8Em0GLFu8I78yM1CfU,198.16,45,2,1,4,0.0467,0.258,0.932,8.09e-06,0.142,-5.194,0.0702,0.334,145.582
New York,1sRWDB2Db5mZVealHeNYJt,186.893,31,9,1,4,0.0121,0.365,0.943,0.00518,0.377,-5.154,0.0888,0.581,137.572
EMI,6FAF8l0j91yX6SwkQNhrm7,193.653,32,10,1,4,0.00502,0.197,0.954,0.0985,0.122,-3.687,0.156,0.475,145.102
