Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,301.92,75,1,1,4,2.55e-05,0.502,0.912,0.000173,0.106,-4.556,0.0564,0.72,116.761
In Bloom - Nevermind Version,30HCB1FoE77IfGRyNv4eFq,255.08,66,10,0,4,3.33e-05,0.436,0.876,0.000104,0.205,-4.902,0.0647,0.512,157.044
Come As You Are,4P5KoWXOxwuobLmHXLMobV,218.92,73,4,0,4,0.00016,0.5,0.824,0.00161,0.0916,-5.846,0.0388,0.539,120.125
Breed,5mJGLBNJM0GULqAoL5mb9C,184.04,59,4,1,4,3.69e-06,0.262,0.969,0.00213,0.133,-4.675,0.0894,0.263,158.433
Lithium,2YodwKJnbPyNKe8XXSE9V7,257.053,68,7,1,4,0.00174,0.678,0.656,0.0,0.0631,-6.41,0.0381,0.485,123.207
Polly,3tlXDvaNrrOmdvG0XVUOcv,173.853,58,2,0,4,0.884,0.83,0.382,0.301,0.11,-11.231,0.0566,0.54,121.12
Territorial Pissings,2jmVGWe4MYY1zAAzpFHHcC,142.946,56,2,1,4,0.000144,0.285,0.979,0.0,0.334,-4.428,0.175,0.108,182.7
Drain You,5Ddlk6C2JVxb1SReZ6O1wk,223.88,61,11,0,4,0.000129,0.325,0.929,2.22e-06,0.184,-5.625,0.0695,0.198,133.358
Lounge Act,7glld4kxYHp61zIPtSVHNk,156.426,56,11,0,4,1.26e-05,0.341,0.964,0.000103,0.151,-5.327,0.107,0.459,152.192
Stay Away,4l012k8ZcAdVbUvZ4kae5Q,211.44,56,11,0,4,5.39e-06,0.367,0.981,0.0461,0.0822,-5.1,0.128,0.205,165.21
On A Plain,651koV4RRMMX6NDbW1ElwP,194.426,54,2,1,4,0.000119,0.428,0.946,3.37e-06,0.141,-4.674,0.102,0.358,133.26
Something In The Way,1nFtiJxYdhtFfFtfXBv06s,232.146,63,8,1,4,0.745,0.427,0.201,0.263,0.109,-13.044,0.0317,0.0668,105.218
"Endless, Nameless",0vNHCXmNzVa8h54SE3JDm7,403.293,49,7,1,4,0.000256,0.271,0.959,0.854,0.0858,-5.866,0.125,0.0642,131.846
