In the Night - Mono,4txvWNx3uEacTvd0dDrCFM,153.075,25,0,1,4,0.704,0.655,0.526,8.29e-05,0.11,-10.325,0.0533,0.944,92.573
Tipitina - Mono,0Jz7pqRw3fumuTvQgAobH4,158.902,37,5,1,4,0.87,0.476,0.372,0.0102,0.1,-14.346,0.0321,0.952,200.241
Hey Now Baby - Mono,6d3XTyjqXVB9gm35OtITwP,176.102,11,0,1,4,0.994,0.451,0.41,0.643,0.112,-13.847,0.0302,0.917,199.068
Walk Your Blues Away - Mono,5KeqOYH9UDiA9flXCny5tK,175.955,11,5,1,4,0.989,0.684,0.469,0.511,0.116,-12.103,0.0371,0.748,99.452
Hey Little Girl - Mono,14pbVDUZQdtbFwZ3J817tz,182.235,17,7,1,4,0.987,0.694,0.559,0.733,0.175,-11.303,0.0305,0.906,113.192
Willie Mae - Mono,0YDYZmLAUgyd0HeLymp8b6,168.235,10,5,1,4,0.984,0.573,0.404,0.362,0.172,-12.501,0.0325,0.782,105.21
Professor Longhair Blues - Mono,5wzd5y2zdSY7F99EesGeex,150.475,12,2,0,3,0.982,0.451,0.397,0.0203,0.125,-11.836,0.037,0.554,111.431
Ball the Wall - Mono,0puFxyJPWFwvwEth0QlLcY,200.449,14,0,1,4,0.728,0.49,0.412,0.113,0.186,-13.924,0.0529,0.519,74.423
Who's Been Fooling You - Mono,0COMt4D17KXLZglcSDM57G,130.449,10,0,1,4,0.818,0.693,0.509,1.74e-05,0.105,-12.085,0.14,0.918,111.601
Boogie Woogie - Mono,61FvO9xI8yQpQ2ygNA4qof,160.795,17,0,1,4,0.951,0.409,0.659,0.923,0.225,-9.857,0.0311,0.829,147.533
Longhair Blues Rhumba - Mono,650aRZzCNAbpRFChJEUweI,193.769,10,5,1,4,0.99,0.528,0.528,0.868,0.133,-13.045,0.0344,0.865,104.938
Mardi Gras in New Orleans - Mono,21cQzMJzLseYq3Q0Di3XqK,173.662,34,10,1,4,0.928,0.516,0.338,0.098,0.13,-11.448,0.0382,0.72,112.781
She Walks Right In - Mono,4HYKLQNdtSMVYlVmiyAgDk,169.349,9,10,1,4,0.974,0.629,0.306,2.05e-06,0.149,-15.775,0.0516,0.617,110.628
