Nick Of Time,1gqk2dawfdLdn4XamF27cx,232.866,53,9,0,4,0.37,0.886,0.312,0.00208,0.103,-16.094,0.0579,0.783,117.692
Thing Called Love,3g6lXYay6mqmtFmjzSYr66,232.133,40,5,1,4,0.0197,0.637,0.64,2.39e-06,0.0672,-11.726,0.0309,0.717,129.654
Love Letter,6zmpnM7y0boAL61orTZ8gt,244.56,34,0,1,4,0.121,0.752,0.427,1.92e-05,0.0399,-12.646,0.0471,0.861,96.508
Cry On My Shoulder,6YQ2RgaJVn2aeFFsNHB4Yb,224.2,33,0,1,4,0.435,0.657,0.272,3.64e-05,0.222,-15.36,0.026,0.332,110.785
Real Man,7Fu24Eo9nj8dNIlsA2bWDI,267.133,29,10,1,4,0.0535,0.743,0.514,0.00278,0.0534,-12.559,0.0322,0.929,108.428
Nobody's Girl,3N3Pa8T8epLgjMplqbetq8,194.908,36,0,1,4,0.768,0.398,0.0875,0.0,0.0789,-22.926,0.0456,0.418,205.614
Have A Heart,5DXvq6kWCNefq4qTSVGGGC,289.97,40,8,1,4,0.485,0.717,0.269,5.79e-05,0.0466,-15.357,0.0378,0.432,67.726
Too Soon To Tell,21bGSuzzoQOKcmz59uDuwH,225.866,28,0,1,3,0.57,0.455,0.128,0.000218,0.106,-18.432,0.0304,0.114,146.123
I Will Not Be Denied,60ehUBvupVTvM2nabCExsB,295.133,26,7,0,4,0.141,0.773,0.341,5.42e-06,0.1,-14.792,0.0332,0.613,98.45
I Ain't Gonna Let You Break My Heart Again,41a9nI6z6qZFyGnhBcHpAd,158.313,30,5,1,3,0.988,0.413,0.0712,3.61e-06,0.111,-19.176,0.0396,0.232,132.804
The Road's My Middle Name,7foznEgDV8wjlGQo6IME2l,211.506,28,1,0,4,0.399,0.664,0.41,6.01e-06,0.272,-14.755,0.0648,0.758,107.708
