Lady Marmalade,17VWTx7LD7liGlpnlGhUbn,237.12,52,2,0,4,0.398,0.631,0.563,0.0,0.0733,-12.135,0.0552,0.947,117.963
Somebody Somewhere,5EQPoTbG1Qm9dI5Ak3NjNs,205.693,14,10,1,4,0.343,0.583,0.519,0.0,0.109,-12.157,0.0471,0.872,115.482
Are You Lonely?,6ZTdZlVAPM3f4sTQUyx4YA,192.493,15,11,0,4,0.28,0.46,0.561,0.00236,0.713,-11.297,0.0367,0.932,199.425
It Took a Long Time,5ezkx3SmSh8oagXxwkhOS9,243.72,26,3,1,4,0.538,0.544,0.426,8.72e-06,0.214,-12.853,0.0452,0.694,124.072
Don't Bring Me Down,0Uww1DkPtD17p7D68OYe69,169.693,12,10,0,4,0.0652,0.832,0.621,0.0,0.229,-10.8,0.0373,0.982,117.331
What Can I Do For You?,3UIqbRjMfQ9Ta3ZpdeHeBZ,242.76,21,4,0,4,0.456,0.683,0.652,0.0,0.0908,-11.093,0.0484,0.883,114.375
Nightbird,5YIOHWGDyPrdH5YxzGkP4U,189.92,13,8,1,4,0.303,0.554,0.381,9.83e-06,0.385,-13.18,0.0298,0.498,143.716
Space Children,3SoTq6Qp2olVWqQfRh2WSC,182.853,13,7,1,4,0.318,0.703,0.45,1.5e-05,0.12,-12.5,0.0485,0.88,128.626
All Girl Band,1038L4MzTFyMCjiPPoWjD8,230.88,11,8,1,4,0.0946,0.649,0.446,0.00903,0.0501,-11.746,0.0326,0.88,140.199
You Turn Me On,2isssR53qdT2UqJAwojDGD,279.106,15,9,0,4,0.622,0.474,0.355,0.0,0.222,-12.006,0.0313,0.379,136.847
