Up the Beach,7CByzrzR4LCBxVI7lM8Ggv,181.0,41,9,1,4,0.151,0.218,0.699,0.971,0.117,-9.869,0.0549,0.0392,112.937
Ocean Size,5lCjgHTEE7tbmzDVaCloGC,259.666,42,9,1,4,0.0896,0.257,0.901,0.0137,0.227,-9.074,0.0832,0.252,93.286
Had a Dad,3HVS01vPf5NMGS7ACAyEXv,225.24,36,7,1,4,0.000792,0.528,0.947,0.00367,0.113,-9.669,0.0673,0.544,99.029
"Ted, Just Admit It...",2l7iDl470hxtX7FkzAA3wz,442.4,37,2,1,4,0.0101,0.365,0.568,0.0132,0.57,-11.311,0.0468,0.604,74.417
Standing in the Shower...Thinking,7DzT745Oi9NI016FEkjWNa,185.16,34,7,1,4,0.0201,0.506,0.972,0.767,0.371,-8.92,0.0641,0.447,112.269
Summertime Rolls,2ziWygUNToqsrm3yNOD6SZ,376.48,44,6,1,4,0.363,0.348,0.249,0.00164,0.11,-10.782,0.0318,0.06,113.379
Mountain Song,5fKZJHzJ9d3MADArbm9muW,242.72,61,9,1,4,0.0155,0.324,0.931,0.0252,0.277,-6.803,0.0837,0.313,82.748
Idiots Rule,51Nh6X9tfaBLQF3YyK6s2A,181.133,37,7,1,4,0.0746,0.496,0.967,0.0033,0.351,-8.599,0.0555,0.633,114.036
Jane Says,7c1Dar0pIAW7w5TzaGjt9t,287.0,67,2,1,4,0.0385,0.402,0.597,2.09e-06,0.109,-9.258,0.0327,0.496,81.806
Thank You Boys,0Vkw2n0irMm2HaCawvXM6M,64.64,31,0,1,4,0.052,0.565,0.701,0.823,0.414,-18.465,0.109,0.138,93.245
Pigs in Zen,0MbbjxUwRG0nNbneLXKkHP,270.533,34,11,1,4,0.0101,0.362,0.849,0.124,0.426,-10.002,0.119,0.687,179.101
