Tente Outra Vez,6WTWBt2GiLq4asb4m7GfkE,142.933,28,7,1,4,0.307,0.507,0.819,2.18e-06,0.0999,-1.995,0.0352,0.304,133.117
Rock Do Diabo,6UDpC6jElm03iqYbeUtuDo,131.133,11,9,1,4,0.124,0.256,0.905,3.22e-06,0.0468,-1.991,0.084,0.698,186.306
A Maçã,3Cfe5KB3BkcvfsXA25NWUy,201.826,12,2,1,4,0.671,0.317,0.573,3.71e-05,0.294,-4.149,0.0351,0.359,134.754
Eu Sou Egoísta,67D5QM7mJnIa4lJHZrN98w,167.866,11,10,1,4,0.39,0.403,0.934,0.0,0.0661,-2.255,0.138,0.689,141.369
Caminhos,277FkFLcFcA6yJvkn2TpRN,108.733,1,8,0,3,0.536,0.55,0.928,4.98e-06,0.0957,-2.583,0.483,0.394,82.635
Tu És O MDC Da Minha Vida,61lhvRagpg5nYuQqsT4cDY,229.933,14,9,0,4,0.115,0.477,0.951,0.0,0.965,-2.369,0.204,0.553,131.227
A Verdade Sobre A Nostalgia,0K1rd8h6QPcRHlAqXb7x1y,125.666,1,11,0,4,0.355,0.58,0.915,1.34e-05,0.0431,-1.809,0.12,0.916,127.374
Paranóia,5k9MUDhHxKUewz8RnHW8tC,230.64,12,4,0,4,0.317,0.356,0.772,4.78e-06,0.395,-2.943,0.0633,0.625,74.747
Peixuxa (O Amiguinho Dos Peixes),3OvBxzNTJfoEKpmUUrSr68,129.759,2,7,1,4,0.448,0.733,0.88,1.05e-06,0.128,-3.381,0.0341,0.971,127.016
É Fim De Mês,61HzXMEp0t0vfbyh6EKOHo,179.106,10,7,1,4,0.582,0.551,0.957,0.0,0.897,-3.122,0.468,0.755,87.047
Sunseed,7uB1k888ShKJmNGc5wRYmS,157.666,1,2,1,4,0.488,0.517,0.42,0.0021,0.166,-6.81,0.0258,0.223,96.096
Caminho II,3DVM9fisSkuaHcjuv4iNC3,55.933,1,7,0,3,0.625,0.557,0.458,0.0674,0.0815,-6.801,0.0408,0.353,132.163
Novo Aeon,5j45vHXLD7pVU6ruGLyO4q,151.333,11,11,0,4,0.276,0.341,0.902,0.0,0.288,-2.914,0.283,0.857,186.663
A Maçã - Bonus Track,6wU4qQ0G1FNqH2P18HXPJi,200.96,1,2,1,4,0.428,0.329,0.655,2.56e-06,0.425,-5.094,0.0335,0.41,135.181
