E Não Vou Mais Deixar Você Tão Só - Versão remasterizada,0BPAoGxuJ7ObgAtis30z1A,212.893,34,9,1,4,0.167,0.351,0.227,2.34e-05,0.115,-13.387,0.0285,0.385,76.659
Ninguém Vai Tirar Você de Mim - Versão remasterizada,3sO3hQ73O0HiLIsgRLGuUU,177.906,36,0,0,4,0.0631,0.553,0.312,1.33e-06,0.132,-13.815,0.0295,0.579,108.257
Se Você Pensa - Versão remasterizada,33FX4YUWdKoJD1NKspznSB,161.826,46,7,0,4,0.0343,0.588,0.527,3.94e-06,0.0526,-11.19,0.0382,0.679,105.964
"É Meu, é Meu, é Meu - Versão remasterizada",4iaag5Ix13gVROnqrrcGJf,188.573,22,0,1,4,0.387,0.742,0.283,0.000449,0.113,-12.95,0.0592,0.777,84.254
Quase Fui Lhe Procurar - Versão remasterizada,53dqbCqJP6W2gM4lMIQZHl,206.2,27,0,1,4,0.283,0.417,0.242,0.0173,0.106,-14.284,0.04,0.406,170.886
"Eu Te Amo, Te Amo, Te Amo - Versão remasterizada",1yeTzyk1QUQRjTOIfbrfvu,239.293,34,6,1,4,0.0101,0.509,0.486,6.86e-05,0.0962,-11.235,0.0302,0.517,99.55
As Canções Que Você Fez Pra Mim - Versão remasterizada,48F4lmUxRKhH5pGrkuRzA0,211.173,37,7,1,4,0.0782,0.452,0.351,0.000431,0.111,-11.517,0.0338,0.416,84.67
Nem Mesmo Você - Versão remasterizada,24eEkICRkZTIBAcdOKBdIP,159.293,30,6,0,4,0.0162,0.627,0.427,1.58e-06,0.0618,-10.815,0.0359,0.641,108.28
Ciúme de Você - Versão remasterizada,2naJXA2SxLeYeNIhkkKOQV,182.64,43,11,0,4,0.0142,0.483,0.515,0.0,0.0296,-12.753,0.0673,0.736,109.101
Não Há Dinheiro Que Pague - Versão remasterizada,5PDtTsdasGlD5YphpsyhKK,157.266,27,7,1,4,0.223,0.505,0.417,0.000449,0.0633,-12.56,0.0552,0.901,101.098
O Tempo Vai Apagar - Versão remasterizada,0EjuSNwXp87ISYCUwqElNg,217.6,25,0,1,4,0.311,0.482,0.247,9.05e-06,0.107,-13.904,0.0261,0.228,78.43
Madrasta - Versão remasterizada,0gL0isjAOkvvP8gbxH7LfF,252.293,15,0,1,3,0.546,0.306,0.0642,0.00259,0.147,-16.878,0.0311,0.162,68.436
