Don't Stop 'Til You Get Enough,46eu3SBuFCXWsPT39Yg3tJ,365.466,75,11,1,4,0.126,0.878,0.821,0.0461,0.183,-9.875,0.089,0.947,118.881
Rock with You - Single Version,7oOOI85fVQvVnK5ynNMdW7,220.626,73,1,1,4,0.179,0.808,0.535,9.91e-05,0.158,-12.521,0.0353,0.848,114.031
Workin' Day and Night,6BdiFsPMPkSEEO4fFXFVWX,313.693,59,7,1,4,0.0461,0.907,0.875,0.00349,0.13,-11.001,0.0635,0.865,129.797
Get on the Floor,78XG7U0UueeC86XpzF9O7f,277.64,52,0,1,4,0.0629,0.809,0.892,0.344,0.0334,-11.443,0.0437,0.89,124.435
Off the Wall,3zYpRGnnoegSpt3SguSo3W,246.0,63,3,0,4,0.182,0.827,0.595,0.0,0.0785,-13.909,0.0565,0.921,118.741
Girlfriend,1nCV2d1RAch7t2kRmwet5N,184.933,50,6,0,4,0.4,0.883,0.4,1.33e-05,0.0756,-14.882,0.0498,0.905,102.767
She's Out of My Life - Single Version,6NGsHLZYGVAkXTFr75WWnn,218.266,58,4,1,4,0.962,0.293,0.0348,0.000212,0.105,-23.92,0.0414,0.101,130.959
I Can't Help It,1HibhNhwk2tljwC4BGGLXV,269.333,58,5,0,4,0.704,0.684,0.394,5.76e-06,0.178,-19.075,0.0908,0.429,100.068
It's the Falling in Love,0CeE7kE8zAnfKIVpdmOaJl,227.866,49,0,1,4,0.206,0.794,0.551,1.01e-05,0.289,-14.607,0.0498,0.91,105.547
Burn This Disco Out,6aCs8gCrp4yrwvw7ylhau2,221.026,47,1,1,4,0.213,0.847,0.709,0.000252,0.0473,-11.343,0.0335,0.961,116.458
