Striving for Perfection,6g1naQRMQAQliHZT5w7CbW,104.133,35,4,0,4,0.849,0.463,0.282,0.0,0.419,-16.435,0.227,0.921,89.599
Knuckleheadz (feat. Ghostface Killah & U-God),6f9gbZYbAqHq2rK1ZjZruf,243.093,44,6,1,4,0.00322,0.849,0.492,0.0105,0.656,-8.659,0.517,0.703,91.297
Knowledge God,2q5rCHN0AciKiTZ864rNP4,264.533,41,1,1,4,0.00999,0.592,0.464,0.000395,0.0852,-8.422,0.39,0.475,180.275
Criminology (feat. Ghostface Killah),1MHtFj66arQ3vD4ZNK1RYy,227.106,49,2,0,4,0.0168,0.712,0.726,0.0,0.0869,-6.086,0.182,0.464,97.041
Incarcerated Scarfaces,3SL3GG9Bs7m1s9aqhjCeIa,282.666,49,9,0,4,0.0607,0.884,0.807,0.00301,0.0949,-6.781,0.31,0.357,92.972
Rainy Dayz (feat. Ghostface Killah & Blue Raspberry),6j4BQbCcDPvj70Gsi8z6vu,362.76,40,11,0,4,0.00237,0.666,0.886,0.0123,0.12,-7.315,0.322,0.16,92.035
"Guillotine (Swordz) (feat. Ghostface Killah, Inspectah Deck & GZA (Genius))",6eAIynPK19mHRypXB26o6X,262.973,54,5,1,4,0.266,0.873,0.728,0.0,0.208,-7.543,0.313,0.809,100.059
Can It Be All So Simple (Remix) (feat. Ghostface Killah),3CV7o0XDHvzOLJb8mw5RHY,338.16,38,11,1,4,0.152,0.745,0.563,5.43e-05,0.132,-6.578,0.379,0.431,91.619
Shark Niggas (Biters),4VQgto1SexEZqljrZza5Gf,98.773,33,3,0,4,0.919,0.671,0.102,0.0,0.264,-22.189,0.942,0.705,97.161
Ice Water,2CS6VF70zr8j0lrSGNdXlu,218.133,38,11,1,4,0.0452,0.74,0.899,0.0972,0.33,-7.221,0.321,0.777,89.454
Glaciers of Ice (feat. Ghostface Killah & Masta Killa),0qldEqAtjaDY4Gfl4h8oS7,320.96,40,3,0,4,0.00599,0.473,0.755,1.76e-06,0.367,-6.281,0.364,0.468,199.943
Verbal Intercourse (feat. Ghostface Killah & Nas),1kHPOtD1fo3kWOgcs0oisd,211.84,45,1,1,4,0.296,0.814,0.663,3.39e-06,0.16,-7.446,0.355,0.52,93.014
Wisdom Body (feat. Ghostface Killah),7yH4QEmh7eU7tODApxrHHd,158.4,35,11,1,4,0.091,0.785,0.551,0.000434,0.227,-5.329,0.229,0.244,81.999
Spot Rusherz,72RfIiWDCJqiZEC6ZNCSdB,193.4,35,10,0,4,0.317,0.545,0.733,3.43e-06,0.0915,-8.382,0.88,0.785,198.573
"Ice Cream (feat. Ghostface Killah, Method Man & Cappadonna)",6SI4JD7iyQ0rrudhCNtMv0,253.226,63,1,0,4,0.219,0.683,0.902,0.000761,0.226,-7.389,0.291,0.724,90.447
"Wu-Gambinos (feat. Ghostface Killah, Method Man, RZA & Masta Killa) - Hidden Chambers Remix",5byHoShbSK7mxLGDQZli9J,339.506,40,9,0,4,0.0914,0.706,0.687,0.000162,0.083,-4.301,0.34,0.493,99.034
Heaven & Hell (feat. Ghostface Killah),2Ik0sIJPSV8aau7fDS9jJv,296.533,43,3,0,4,0.412,0.52,0.849,9.95e-06,0.385,-5.094,0.345,0.563,77.924
North Star (Jewels),6w5ZlJqegFx5E9xQqYLqCK,238.48,34,1,0,4,0.774,0.422,0.711,0.00202,0.375,-5.644,0.088,0.601,78.655
