Time to Pretend,4iG2gAwKXsOcijVaVXzRPW,261.0,73,2,1,3,8.74e-05,0.438,0.94,0.0777,0.3,-3.249,0.0452,0.421,100.99
Weekend Wars,19K3lUMJmOdeuOBTrbLm19,250.773,58,5,1,4,0.0964,0.549,0.859,2.36e-05,0.322,-3.993,0.0361,0.69,77.013
The Youth,5nv854ey1k43KaZ0kHmE4Z,228.013,53,5,1,3,0.122,0.485,0.799,0.0054,0.33,-5.886,0.029,0.468,111.012
Electric Feel,3FtYbEfBqAlGO46NUDQSAt,229.64,78,1,1,3,0.0714,0.763,0.807,0.28,0.348,-3.714,0.035,0.559,103.038
Kids,1jJci4qxiYcOHhQR247rEU,302.84,78,9,1,4,0.00076,0.451,0.931,0.0049,0.361,-3.871,0.0719,0.172,122.961
4th Dimensional Transition,5qdCsd05UUdtAsAtET9gxV,238.013,48,9,1,4,0.042,0.381,0.939,0.918,0.172,-4.684,0.125,0.335,159.97
Pieces of What,6wxDu7ISgm5nppPMea4W7D,163.773,49,4,0,4,0.0672,0.572,0.756,6.26e-05,0.383,-6.634,0.0287,0.727,108.014
"Of Moons, Birds & Monsters",0w8dULoVhTuC8x8m8PKwX7,286.72,52,1,0,4,0.0218,0.598,0.899,0.0137,0.0814,-3.861,0.0424,0.403,124.061
The Handshake,7d4coyGabEbHZ5tRpTbQT5,219.626,49,11,0,4,0.27,0.565,0.763,0.0087,0.299,-7.043,0.0584,0.283,139.995
Future Reflections,0USruADoPffR0n8VHcRJ3r,240.253,46,5,1,4,0.0832,0.512,0.978,0.0445,0.37,-4.02,0.0963,0.494,140.022
