Abertura,5Gb9jgEld4Ed66DwuD8Srh,380.373,24,9,0,4,0.936,0.494,0.231,0.881,0.0854,-20.247,0.0487,0.116,116.902
Canto de Ossanha,1ZHfMFfKdpFmAIAXIWK9LH,255.08,43,7,0,4,0.648,0.578,0.403,0.00791,0.239,-15.819,0.0473,0.521,90.11
Labareda,02sludG8gDe6wgGgEczpkG,369.973,29,7,1,4,0.77,0.582,0.495,0.726,0.0983,-15.257,0.0461,0.879,119.365
Tristeza e Solidão,0tbaCkhAVU6yWfXfIy1Nz5,332.693,23,2,0,4,0.838,0.408,0.138,0.128,0.105,-19.464,0.034,0.241,110.466
Canto de Pedra Preta,7CSBwB6sKYMUMLiVPrCz3x,220.453,22,0,1,4,0.623,0.404,0.414,0.00116,0.0895,-15.858,0.0506,0.416,135.512
Canto de Xangô,4O6hfbAp9y65YyaUS1hQk7,354.266,25,4,0,3,0.547,0.448,0.403,0.525,0.075,-17.367,0.044,0.867,103.524
Bocoché,4h46SNo5krVAjlfu3IDGG9,188.4,18,7,1,3,0.843,0.336,0.287,0.00439,0.103,-17.138,0.0406,0.538,92.919
Canto de Yemanjá,1FM6WoiD8RPTAzozx56wvi,363.266,24,1,0,3,0.812,0.265,0.252,0.132,0.0712,-18.445,0.0354,0.194,96.737
Variações Sobre Berimbau,4iXOOVqVNLLemFlyhF6N40,365.04,22,5,0,4,0.453,0.452,0.507,0.722,0.113,-15.932,0.0395,0.784,109.157
Tempo de Amor (Samba do Veloso),2mbYdO4VRxK7AKQ2NtxOo1,282.413,35,11,0,4,0.713,0.427,0.408,0.0108,0.107,-17.583,0.0834,0.521,125.477
Lamento de Éxu,26nGWUoImWRcK9zjQd0FlF,365.6,19,9,1,3,0.821,0.297,0.128,0.848,0.159,-26.44,0.0411,0.158,85.766
