Next To You,7HjipY3Vy2HAN11D2juKHT,171.973,49,4,0,4,0.0454,0.407,0.975,1.26e-05,0.0837,-6.181,0.0666,0.61,175.246
So Lonely,2wnsBaxrmkthIFAm6vqCuX,289.586,66,7,1,4,0.0123,0.541,0.571,1.55e-06,0.0933,-8.308,0.16,0.73,77.335
Roxanne,3EYOJ48Et32uATr9ZmLnAo,191.946,76,0,1,4,0.0384,0.618,0.748,4.1e-06,0.0473,-8.905,0.358,0.663,134.114
Hole In My Life,25McPIqh9oSdPSP36Gu7Jp,290.093,45,7,1,4,0.173,0.639,0.611,0.0343,0.144,-7.506,0.0354,0.608,147.523
Peanuts,7Jsli31ZTv3TI28qcXzEkE,234.8,44,2,1,4,0.00307,0.44,0.923,2.73e-06,0.0312,-7.178,0.145,0.704,181.375
Can't Stand Losing You,6DjKJgwe9c90Bd2iya0fre,178.76,50,2,0,4,0.0701,0.737,0.789,0.000933,0.0518,-5.299,0.3,0.891,141.969
Truth Hits Everybody,4pLhVO0JuMiFDSJYDiGP7S,174.96,45,9,1,4,0.0429,0.436,0.939,0.000733,0.219,-6.682,0.0615,0.624,164.814
Born In The 50's,0RxrsIXyGkeV8JwEFUZMhg,222.466,38,3,1,4,0.00133,0.513,0.845,0.000744,0.0521,-7.925,0.0966,0.811,141.645
Be My Girl - Sally,4cHObLf8gg0XIvi7AsUPuJ,204.0,37,6,0,4,0.81,0.542,0.252,0.00718,0.675,-12.416,0.494,0.206,163.694
Masoko Tanga,4i4zjkLYGOwHXbNTnsesGe,342.266,39,6,0,4,0.0309,0.677,0.871,0.77,0.278,-9.298,0.0441,0.901,144.185
