Mother and Child Reunion,5vZ1BKMSLgrxxPYGMR904n,187.4,54,9,1,4,0.112,0.712,0.632,0.0,0.0648,-7.704,0.0334,0.764,119.931
Duncan,2SgNoPUi4SOUNmp2Y7SNQj,283.133,47,7,1,4,0.763,0.438,0.398,9.2e-06,0.0871,-13.692,0.0347,0.456,93.954
Everything Put Together Falls Apart,2PoB2neKgCS51eUZybllha,121.866,36,0,1,4,0.909,0.543,0.0705,0.0214,0.108,-20.711,0.0439,0.342,84.699
Run That Body Down,4p9NsrEWOGReSmSzlx9X2g,232.146,47,2,1,4,0.784,0.68,0.313,0.0101,0.144,-15.051,0.0387,0.453,104.655
Armistice Day,6Hn3aQsZQGzUutftOSZtQ7,235.506,33,7,1,4,0.828,0.512,0.27,0.0479,0.184,-14.1,0.0318,0.278,115.219
Me and Julio Down by the Schoolyard,6vxHp3CDNo0afgKGp2yi1E,164.813,72,9,1,4,0.237,0.626,0.816,1.8e-06,0.104,-10.593,0.13,0.798,105.33
Peace Like a River,0slD4yP9v2Sfi4YNjUcfSC,203.28,40,5,1,4,0.87,0.635,0.343,0.0625,0.113,-14.272,0.0304,0.669,126.511
Papa Hobo,5R8eSFEQ7G5J8T6MQ96qDd,155.533,34,0,1,3,0.867,0.499,0.154,0.00825,0.101,-17.019,0.0327,0.368,144.008
Hobo's Blues,5ibzGJgUhqJId3IMgzhufM,80.773,33,10,1,4,0.6,0.589,0.504,0.0,0.0797,-12.588,0.0584,0.543,84.216
Paranoia Blues,0EyVLHntRxBdK77NC7je1x,176.64,33,11,0,4,0.195,0.72,0.448,6.75e-06,0.0844,-11.599,0.0712,0.674,125.354
Congratulations,7ygBd6XOHoCzIOEL147xbz,223.4,32,9,1,3,0.852,0.533,0.171,0.0343,0.199,-18.368,0.03,0.151,94.474
Me and Julio Down by the Schoolyard - Demo - San Francisco 2/71,4aE0MD5M7PAv0kTdyzceDb,147.533,32,2,1,4,0.863,0.645,0.317,0.0,0.159,-14.589,0.042,0.723,96.834
Duncan - Demo - San Francisco 2/71,1CrQEAESsnblHwnBf7Uypx,166.613,30,9,1,4,0.901,0.442,0.122,0.0105,0.105,-20.102,0.0354,0.392,114.333
Paranoia Blues (Unreleased Version),2r8Gi0kiA3JYy4HBT8Uj44,194.36,30,6,1,4,0.496,0.625,0.514,1.57e-06,0.175,-12.232,0.0734,0.847,130.782
