Pink Moon,16qzGrIMWoxerw2gnW0zuv,123.333,69,3,1,4,0.819,0.638,0.256,0.0707,0.145,-15.68,0.0492,0.438,82.479
Place To Be,2YkQuh1bijWzQJie9KfFQi,161.293,58,5,1,4,0.872,0.342,0.224,0.163,0.109,-16.362,0.0357,0.404,53.477
Road,7a9CcfKkg5E9JlU0nflL8K,119.826,49,7,1,4,0.864,0.579,0.26,0.836,0.0978,-16.071,0.0458,0.818,150.821
Which Will,4d0eRQkWI8LrRJfCHmyOVI,176.8,48,4,0,4,0.917,0.618,0.188,0.155,0.104,-16.797,0.0286,0.429,95.386
Horn,4XFZey4zmgQV551M0hfaUg,81.066,50,1,1,3,0.917,0.578,0.0226,0.823,0.139,-20.664,0.173,0.145,137.052
Things Behind The Sun,2u6PeEPCbQUP656PbSi7AH,234.466,50,1,1,4,0.877,0.674,0.152,0.0953,0.113,-18.557,0.0461,0.251,102.859
Know,16QcqyiNj7m5jbFGBVo4df,143.226,45,11,0,4,0.893,0.678,0.0607,0.758,0.105,-20.424,0.0613,0.655,120.246
Parasite,3mvA09zRuyVGo7nEPkuStP,214.173,46,11,1,4,0.777,0.619,0.189,9.68e-05,0.103,-16.646,0.036,0.242,131.465
Free Ride,4lGUA1a5NCgoRVrvPCrw9G,183.986,49,0,1,4,0.895,0.807,0.117,0.24,0.111,-17.596,0.0621,0.595,120.246
Harvest Breed,0M0bBnanRqRGKs8pz7ZWi0,95.013,44,8,1,4,0.905,0.75,0.13,0.0338,0.114,-19.021,0.0689,0.857,118.574
From The Morning,6d01Jkzt0zYiQINWJJFCaf,152.04,52,0,1,4,0.864,0.639,0.166,0.0752,0.115,-19.269,0.0446,0.398,109.227
