Touch The Hem Of His Garment,3DsUPZmxaFtej5i7GeSQqi,124.12,30,10,1,4,0.871,0.52,0.486,0.0,0.113,-9.237,0.0476,0.682,100.847
Lovable,4wsc7iglNffghS5xKDJxqu,146.12,27,2,1,4,0.846,0.401,0.362,0.0,0.203,-10.194,0.0413,0.519,84.695
You Send Me,0BFEyqJ9DJXS7gKg0Kj46R,165.56,59,4,0,4,0.878,0.553,0.291,0.0,0.129,-10.426,0.0301,0.407,96.217
Only Sixteen,4ksfrsQSVrP0DYdMyMXYxN,123.946,39,8,1,4,0.777,0.737,0.436,0.0,0.168,-12.248,0.084,0.841,112.301
(I Love You) For Sentimental Reasons,6wr7OJQS5J5kGXGm5jZCi0,160.133,31,4,0,4,0.743,0.423,0.436,0.0,0.135,-10.111,0.0283,0.683,90.825
Just For You,3yMIZr12N3iOWP0AN8Tia9,142.106,43,0,1,4,0.741,0.559,0.567,0.0,0.223,-8.255,0.0851,0.894,137.462
Win Your Love For Me,7jwPDFG5HxM5G1Q5Mmw855,167.773,28,7,1,4,0.766,0.688,0.668,1.22e-06,0.137,-8.955,0.0317,0.893,134.042
Everybody Loves To Cha Cha Cha,3SnGhXZqnjymbEZuPbHfjW,163.106,29,7,1,4,0.68,0.763,0.684,0.0,0.596,-8.075,0.107,0.918,127.049
I'll Come Running Back To You,5yaIml8PCazYHOeiUTvzoc,134.76,33,8,1,4,0.905,0.65,0.299,0.0,0.0944,-12.277,0.054,0.685,95.567
You Were Made For Me,4UD07NwOyei11knunWfPJB,175.813,30,2,1,4,0.807,0.469,0.326,0.0,0.104,-11.327,0.0321,0.617,97.38
Sad Mood,2ib1IMnHzjMtB7k6WkMcGv,160.533,30,7,1,4,0.392,0.527,0.429,0.0,0.286,-9.933,0.0412,0.786,99.763
Cupid,6VqVieqjDEwS3mByMq4OzB,158.613,50,7,1,4,0.484,0.474,0.478,0.0,0.0833,-8.951,0.0343,0.831,120.326
(What A) Wonderful World,5Fih0qlqrBjPIE0dFamuBr,129.293,58,11,1,4,0.529,0.763,0.571,0.0,0.154,-10.552,0.0337,0.936,128.211
Chain Gang,7v7NjssrHUYWQcAtT29qu9,156.386,31,7,1,4,0.703,0.701,0.748,0.0,0.148,-9.286,0.0438,0.931,131.889
Summertime,5blqPmozIU2vhHN7vbBKxk,143.213,43,6,0,3,0.722,0.653,0.319,1.1e-05,0.106,-12.205,0.0329,0.402,120.647
Little Red Rooster,2Jiy1soBkPkbt62V9iqz9e,173.786,22,9,1,4,0.39,0.433,0.573,0.0,0.282,-8.217,0.0402,0.77,92.671
Bring It On Home To Me,4yjz1aazw6R8ZURpGbCAkp,165.28,61,0,1,4,0.617,0.482,0.569,0.0,0.155,-5.897,0.0328,0.609,70.843
Nothing Can Change This Love,2wMoTrnS0xlNBA74TsWsiz,159.653,31,9,1,4,0.541,0.347,0.473,0.0,0.0725,-7.649,0.0294,0.467,64.684
Sugar Dumpling,5DDmne2Ia9bfDdXklCOVjl,165.173,30,10,1,4,0.696,0.6,0.577,0.0,0.0774,-9.984,0.0427,0.961,127.379
(Ain't That) Good News,6SlKb345GYqrJSvxoT2WCs,150.68,25,7,1,4,0.722,0.628,0.55,0.0,0.167,-10.866,0.128,0.946,116.382
Meet Me At Mary's Place,1tgsqR27Ozr63eRHanXRl2,163.333,24,10,1,4,0.753,0.572,0.566,0.0,0.0797,-8.952,0.04,0.884,105.665
Twistin' The Night Away,5zAagqWhlO0yzzMxIrJXIR,164.186,30,6,0,4,0.163,0.545,0.688,0.0,0.0897,-8.034,0.0423,0.921,160.988
Shake,5naGmbqRY9AlitnRgbw0uX,173.613,29,5,1,4,0.782,0.543,0.846,0.0,0.312,-7.582,0.0553,0.782,151.557
Tennessee Waltz,1mFnzLmWAcuidKIapYMdyY,191.666,25,3,1,4,0.686,0.624,0.701,0.0,0.186,-9.644,0.0461,0.902,93.135
Another Saturday Night,3yyeRHMUJLYsYGVa7r6dHp,162.133,28,9,1,4,0.405,0.777,0.648,0.0,0.0781,-7.873,0.0496,0.971,123.126
Good Times,4hu98NLP8cjHmxmJ3TYKY9,148.053,27,7,1,4,0.683,0.651,0.614,0.0,0.217,-8.81,0.0703,0.868,119.469
Having A Party,74wAhMoll6FsAKJOz3ch0D,157.546,33,7,0,4,0.541,0.508,0.611,0.0,0.34,-7.901,0.0418,0.733,123.38
That's Where It's At,2jqkVBMchQP8jiuEJQqQt4,157.493,48,0,1,3,0.765,0.511,0.471,2.35e-06,0.173,-9.281,0.0245,0.609,100.248
A Change Is Gonna Come,6WtxOhRKZXY0ex7bXcOAkV,193.386,30,10,1,3,0.77,0.229,0.39,0.0,0.299,-10.183,0.0323,0.43,79.866
Jesus Gave Me Water,25Eecv9kJomHdLYAf01ve9,151.773,26,2,1,4,0.808,0.449,0.107,0.0,0.0911,-12.317,0.098,0.684,190.058
Soul - Hidden Track,3P3xONUKHDynX6Fs93VHZl,32.68,36,11,0,1,0.942,0.54,0.348,0.00028,0.416,-18.788,0.857,0.497,91.646
