Walking In the Rain,7MJPH9KJ0dCpHFMnDViuiu,196.866,31,10,1,4,0.386,0.5,0.655,0.0,0.0915,-8.313,0.0308,0.41,107.75
Do I Love You?,2WnqwGtx6qbD3HFpj4NeJy,176.146,29,1,1,4,0.498,0.467,0.714,0.0034,0.046,-8.796,0.0399,0.364,144.915
So Young,2GvsTbSNoxkqNjusXaURUt,155.506,23,2,1,3,0.75,0.171,0.594,9.25e-05,0.154,-6.896,0.0465,0.287,174.719
(The Best Part Of) Breakin' Up,6HfubSk3SSjTwZq47HLh1z,184.346,28,2,1,4,0.411,0.49,0.712,0.00171,0.129,-9.591,0.045,0.572,105.318
I Wonder,22nH9pl9PPsxduiWlV3cSU,169.68,22,5,1,4,0.305,0.482,0.802,0.0,0.168,-8.474,0.0702,0.56,135.029
What'd I Say,0DVRlAYFT7rxCuT7UYWGs0,282.32,25,7,1,4,0.388,0.357,0.88,0.0259,0.893,-7.609,0.0405,0.613,97.056
Be My Baby,1WN4uNclrDuczTO3bCr8s1,160.906,59,4,1,4,0.168,0.512,0.771,0.0,0.0895,-7.006,0.0402,0.803,129.639
You Baby,1p8EvgUZmAyGWmpStnN4lu,175.333,22,0,1,4,0.368,0.482,0.512,0.0027,0.408,-9.01,0.0394,0.3,114.004
"Baby, I Love You",7HfCWnydoXXHYqaGowmF1W,171.466,41,3,1,4,0.205,0.545,0.802,1.07e-05,0.0854,-8.3,0.0353,0.841,115.668
How Does It Feel,2Syo9vgnbr6TkX7sV5DOmI,160.733,23,5,0,4,0.0665,0.498,0.877,0.000758,0.0676,-7.4,0.0819,0.482,139.854
When I Saw You,6FVaP2LZip4HtUIB4T2DKB,162.693,22,0,1,3,0.836,0.161,0.449,0.0324,0.108,-9.131,0.0352,0.291,183.066
Chapel Of Love,2cSD2iV6RDf3a2pXyITeWW,178.4,29,2,1,4,0.48,0.628,0.804,0.0,0.398,-8.529,0.0449,0.8,115.575
