Precious - 2006 Remaster,2iuZ5AHkLXrQslRDV8k8SV,215.666,32,7,1,4,0.000688,0.484,0.862,0.0146,0.368,-6.948,0.0477,0.69,91.171
The Phone Call - 2006 Remaster,6rE40kiv1YuF5wxX974n7a,148.8,23,2,1,1,0.00201,0.455,0.815,0.544,0.241,-6.494,0.0428,0.553,146.924
Up the Neck - 2006 Remaster,432YZqqWEaTEcsemfQ6izL,266.453,25,0,1,4,0.00787,0.641,0.864,0.0432,0.359,-7.533,0.0343,0.723,133.678
Tattooed Love Boys - 2006 Remaster,3dXFWTTHi1yyb5kZgy5vbs,179.093,35,7,1,4,0.000905,0.631,0.887,0.000112,0.132,-7.111,0.0429,0.781,121.355
Space Invader - 2006 Remaster,5DowQfDc9HNQsEqBsjIEOR,206.253,31,3,0,4,0.00124,0.517,0.694,0.715,0.108,-9.265,0.0321,0.598,128.242
The Wait - 2006 Remaster,2ktpb2ybPiAhyFJYUYeaK1,214.413,31,4,1,4,0.00135,0.325,0.852,0.0405,0.13,-6.447,0.138,0.738,187.405
Stop Your Sobbing - 2006 Remaster,6pZ8rAXwqJSRPDBvPPINvi,158.053,32,0,1,4,0.0249,0.6,0.713,0.0259,0.312,-6.025,0.0292,0.543,121.668
Kid - 2006 Remaster,3UAmMPmXGMn28YRQkgS4tz,186.533,40,1,0,4,0.0463,0.436,0.728,9.05e-05,0.115,-7.299,0.0305,0.65,137.525
Private Life - 2006 Remaster,244tOAcc98SEf4tNiYUSej,383.213,28,4,0,4,0.0491,0.676,0.64,0.000317,0.0644,-7.823,0.0469,0.511,123.618
Brass in Pocket - 2006 Remaster,1QaJWSCk3UMKLotnPCIHh1,185.96,61,9,1,4,0.368,0.751,0.703,0.00123,0.196,-5.687,0.0287,0.907,97.931
Lovers of Today - 2006 Remaster,22AqCVfvgbCosjkO6b2DYl,350.093,21,8,0,4,0.347,0.379,0.509,0.00492,0.274,-6.586,0.0305,0.0783,140.404
Mystery Achievement - 2006 Remaster,2xTk109VtSva8rmQvb2Esn,322.906,34,1,0,4,0.0211,0.566,0.791,0.00546,0.264,-5.762,0.0466,0.942,139.009
Cuban Slide - Single Version; 2006 Remaster,51wIC8sIIPpIRFsu0XBrsO,272.653,20,0,1,4,0.00204,0.57,0.915,0.786,0.174,-7.256,0.082,0.756,101.398
Porcelain - Single Version; 2006 Remaster,2oLzSrqoTLuMmxNs6mFacM,232.84,17,11,0,4,0.0538,0.48,0.682,0.816,0.276,-10.093,0.0432,0.77,173.215
The Phone Call - Demo,6CcJvcixQ6OewfT6aYLFmx,140.746,15,8,0,1,0.00429,0.432,0.841,0.000448,0.232,-8.634,0.0443,0.394,151.076
The Wait - Demo,7gfiDErEZWIZwgnnifThjN,186.106,16,11,1,1,0.0231,0.681,0.905,0.0104,0.0986,-5.705,0.118,0.62,99.619
I Can't Control Myself - Demo,3fljbgTeDABNh1lR53cR5R,261.293,14,2,1,4,0.0427,0.506,0.801,0.0636,0.0899,-6.523,0.107,0.694,91.122
Swinging London - Single Version; 2006 Remaster,0v6j5FnuPTQWCwpuWQXhqF,113.76,13,3,1,4,0.0177,0.488,0.795,0.811,0.322,-8.094,0.0336,0.719,147.248
Brass in Pocket - Demo,6XR46DtafHCIaUqZNVQ9xY,226.173,14,2,1,4,0.482,0.714,0.706,3.08e-05,0.0895,-6.553,0.028,0.786,89.381
Kid - Demo,48OomRottnxf6gEH5kPpls,242.733,14,0,1,4,0.0251,0.401,0.809,0.00766,0.163,-7.213,0.0424,0.68,142.428
Stop Your Sobbing - Demo,2FbygAnBFyCPekNtW61PeU,141.64,13,0,1,4,0.314,0.777,0.574,0.0,0.0429,-10.946,0.0682,0.699,110.885
Tequila - Demo,5qM2Q7O0Fn4au1hyNnTXwZ,319.813,12,0,1,3,0.671,0.557,0.324,7.27e-05,0.0832,-10.534,0.0342,0.233,108.963
Nervous but Shy - Single Version; 2006 Remaster,1VGkKiYX5GdJtyhl9ssQbe,104.013,11,11,0,4,0.229,0.782,0.459,0.802,0.0756,-10.962,0.0432,0.683,108.14
"Precious - Live at the Paradise Theater, Boston, MA, 23/3/1980",5atJGIEPkgKrmqiYZXND1Q,206.08,13,7,1,4,0.0061,0.434,0.986,0.48,0.968,-5.817,0.0867,0.252,95.521
"Tattooed Love Boys - Live Paradise Theatre, 1980",0Cfd1Ndq05IuoiUFIqfdo9,184.866,12,2,1,1,0.00208,0.392,0.997,0.228,0.96,-4.736,0.152,0.154,124.194
"Sabre Dance - Live at the Marquee Club, London, 1979",2hfaVRAVrFE7YWRTc4jhNz,230.92,11,9,1,4,7.77e-06,0.141,0.982,0.745,0.212,-9.359,0.126,0.282,214.437
