Rikki Don't Lose That Number,18a9EGG4xhRELv7bgAw5hb,271.093,62,11,0,4,0.518,0.656,0.462,0.000137,0.091,-14.072,0.0373,0.642,116.049
Night By Night,6dPSAWeeV6VO7CGBocFL02,218.466,45,0,1,4,0.227,0.588,0.478,0.0035,0.286,-13.26,0.0379,0.968,156.411
Any Major Dude Will Tell You,7BVIm4yj3PQ6MwTPwcjka6,187.266,56,2,1,4,0.647,0.684,0.416,0.0,0.0822,-15.367,0.0447,0.549,80.204
Barrytown,53GpNOI1Qe1tx0p6CROgwx,200.96,39,11,0,4,0.544,0.644,0.594,0.0,0.243,-12.835,0.0323,0.869,126.409
East St. Louis Toodle-Oo,2dxUH1AbIoSJHaogzf1ztg,167.466,37,0,0,4,0.804,0.655,0.291,0.058,0.312,-13.81,0.0364,0.629,153.826
Parker's Band,3fapaACm15bC2SAcdv5f3H,162.8,41,0,1,4,0.537,0.539,0.564,0.0,0.402,-12.224,0.0319,0.928,139.116
Through With Buzz,1XfWVmYXxDmmy7SybdfN5N,92.16,36,0,1,4,0.636,0.597,0.417,0.0,0.153,-11.454,0.0332,0.456,133.464
Pretzel Logic,2TDqa2yNF9qhSmP8gqcleE,270.533,49,9,0,4,0.62,0.605,0.443,0.0169,0.205,-12.096,0.0428,0.654,96.333
With A Gun,6hCZTtQ84zVg3gGXQaIGZv,136.933,37,2,0,4,0.0456,0.714,0.56,0.0,0.0613,-11.684,0.0326,0.955,109.071
Charlie Freak,1ssMNCvc9ChqxILdhMw602,163.04,36,4,0,4,0.661,0.639,0.537,0.0,0.3,-13.342,0.0286,0.799,131.566
Monkey In Your Soul,5gDlxeAf4yLkoFsQBUeYht,153.933,35,9,1,4,0.226,0.841,0.664,3.34e-05,0.0422,-10.227,0.0689,0.961,117.95
