Merry Blues,1GsVEQfNpSuDZdz1yntZQa,216.066,48,7,0,4,0.438,0.638,0.877,0.00474,0.134,-8.208,0.252,0.894,164.039
Bixo,3JJIdDXjN8oH6ZfPv3pApB,112.04,40,5,0,4,0.762,0.658,0.452,0.0,0.506,-9.929,0.153,0.971,91.321
Eldorado 1997,6JXPYFNQKDD9PipDrzxRnP,89.8,39,10,0,4,0.138,0.575,0.735,5.87e-06,0.817,-7.585,0.27,0.962,182.543
Promiscuity,43hoQmacvWqdKnpog2qtcw,95.986,44,10,1,4,0.813,0.652,0.724,0.000277,0.238,-8.627,0.0506,0.984,170.968
La Primavera,3NHuU6OLvSu77HMYXV93l4,112.533,45,11,0,4,0.709,0.564,0.609,0.00829,0.535,-8.26,0.0865,0.813,175.791
Me Gustas Tu,6b37xrsNCWYIUphFBazqD6,239.986,72,11,0,4,0.663,0.657,0.741,0.494,0.222,-6.822,0.0825,0.908,175.949
Denia,1WSwO430vHpJyjvdEXgofU,279.48,48,4,0,4,0.344,0.656,0.838,0.000271,0.679,-6.097,0.0339,0.7,120.0
Mi Vida,490Eam6Vp7y7vzuGz35bbk,152.613,49,9,1,4,0.574,0.826,0.473,0.00196,0.551,-12.609,0.0354,0.932,137.953
Trapped By Love,6UrwOlzFL5FT55kd1ZAk9K,114.92,40,0,0,4,0.144,0.733,0.74,0.0,0.441,-7.789,0.0396,0.716,99.001
Le Rendez Vous,42O94rF8TR5FXKX8Ymqz1j,116.733,39,0,0,4,0.15,0.536,0.698,1.69e-06,0.596,-8.312,0.114,0.759,197.909
Mr Bobby,3fHw1Y4sD4U2b0s3K4ql9I,229.36,55,9,0,4,0.676,0.642,0.547,0.0171,0.194,-7.081,0.03,0.967,150.05
Papito,4SlXWEtT9mFIqe6AJXJ1nk,171.226,39,4,1,4,0.468,0.803,0.775,0.0,0.411,-4.532,0.059,0.967,108.016
La Chinita,3D7c877toc0Aec6HLAlILK,93.76,45,6,1,4,0.675,0.694,0.754,8.18e-05,0.207,-6.482,0.172,0.952,176.03
La Marea,2W2uxdNpNnLl4sRbKANgFn,136.906,38,0,1,4,0.46,0.697,0.885,1.42e-05,0.656,-4.904,0.127,0.918,120.005
Homens,4WAdzFPrvnq77ZS7woIkfv,198.426,48,9,0,4,0.792,0.745,0.447,0.000518,0.0916,-12.111,0.0523,0.974,150.021
La Vacaloca,3bacS4yy1M7WUqkB71HRwj,143.64,44,2,1,4,0.26,0.803,0.467,0.0,0.307,-9.955,0.0781,0.536,149.982
Infinita Tristeza,5gUXB6Jt3HQJFMRffLIt4J,236.466,40,11,0,4,0.668,0.713,0.592,6.01e-06,0.363,-11.305,0.346,0.947,87.997
