Just Like Honey,1LwP9g1Hjbs64jXM2Qsxry,182.493,64,8,1,4,8.02e-05,0.341,0.552,0.616,0.0591,-10.503,0.0423,0.486,121.361
The Living End,5dfoQUgmrP6KhRkuTLFb1Y,135.853,33,10,1,4,1.03e-06,0.206,0.711,0.888,0.123,-7.474,0.0443,0.333,156.577
Taste the Floor,5xnK3NwAHclYaQl8fGiCtZ,177.24,32,7,0,4,4.38e-06,0.319,0.894,0.275,0.114,-5.955,0.0487,0.252,127.808
The Hardest Walk,5Rww9p2xp4TSzk9nuIyZ2h,159.053,36,3,1,4,0.000152,0.302,0.785,0.706,0.154,-4.841,0.0415,0.474,128.18
Cut Dead,3Pz5KZ6ojzwdUNr5peiZnu,165.813,34,7,1,4,0.00146,0.456,0.457,0.793,0.21,-10.768,0.0287,0.284,104.423
In a Hole,5nCUibm6ikGJBKMwCAXi37,182.586,30,10,1,4,1.39e-06,0.229,0.791,0.928,0.0899,-4.493,0.0413,0.209,77.576
Taste of Cindy,0skJx6IOESP4iDf33bBBq9,102.333,35,11,1,4,0.000146,0.18,0.905,0.831,0.327,-2.767,0.0453,0.552,138.02
Never Understand,6ej8EFrgYq86kPfFti4VfX,178.92,33,11,1,4,3.35e-05,0.204,0.961,0.837,0.201,-4.214,0.0528,0.388,168.146
Inside Me,3lwO4XEh88NVObmQ2tNaMw,189.973,28,9,1,4,8.02e-06,0.294,0.859,0.342,0.0818,-5.096,0.0456,0.23,147.26
Sowing Seeds,4NZnRj4cDC2iCjeHyOEZV1,170.32,29,0,1,4,3.38e-05,0.43,0.609,0.0456,0.0844,-6.907,0.049,0.268,124.203
My Little Underground,3JCCl6T9mWGIzdM1ZI9fQX,151.346,29,2,0,3,2.83e-06,0.167,0.884,0.867,0.0714,-4.668,0.0565,0.37,113.147
You Trip Me Up,4shiyvvD6QhdSHUDIhJzx7,146.04,30,9,1,4,0.000332,0.181,0.863,0.88,0.47,-4.418,0.0669,0.219,131.606
Something's Wrong,0QQviRjnsuP04U9r75fANz,242.613,27,5,1,4,5.31e-06,0.327,0.604,0.825,0.2,-6.762,0.0435,0.211,136.502
It's So Hard,0IePS9zqYeOlHAzk80mMNO,158.32,24,7,0,4,0.000531,0.31,0.929,0.273,0.0595,-6.59,0.0499,0.0357,143.44
Suck - Single Version,3ssriYe4vtFGxPbUZDeZ0u,128.28,23,0,1,4,0.00115,0.18,0.752,0.00124,0.116,-8.45,0.0494,0.137,137.162
Ambition - Single Version,4VPzrser2mIjpNwaChxkWo,209.693,22,2,1,4,0.000638,0.174,0.936,0.568,0.206,-5.541,0.044,0.295,154.428
Just out of Reach,1ZxeJffkJqqNm45V69KPgA,128.133,21,9,0,4,6.83e-05,0.324,0.733,0.938,0.0808,-12.576,0.0653,0.039,140.734
Boyfriend's Dead - Single Version,1o5CY7N9GP9dVJAwgtRvZn,103.16,21,2,0,4,8.76e-05,0.17,0.933,0.726,0.38,-5.837,0.143,0.0737,75.668
Head,0swMAzrNYnQH0svmdRhiSO,230.906,21,3,1,4,5.39e-06,0.283,0.662,0.0565,0.103,-7.836,0.046,0.413,136.367
Cracked,29XzxmYd35qr4pxfydaOIN,227.066,20,11,1,4,1.12e-05,0.268,0.461,0.875,0.23,-9.799,0.0379,0.161,94.786
Upside Down,4ZvubANFXiNImYIOOsuCcG,180.053,24,5,1,4,0.000186,0.209,0.928,0.766,0.148,-7.157,0.0526,0.0959,155.373
Vegetable Man - Single Version,4cXUQgju1zGYAeyf8xyzw3,215.253,20,4,1,4,0.00231,0.206,0.819,2.6e-05,0.0816,-8.658,0.0496,0.197,145.825
Just Like Honey - Demo,5juy67zMNwpXOPdqisItIC,177.658,24,9,1,4,0.054,0.428,0.714,0.59,0.153,-9.581,0.0364,0.334,127.059
The Living End,6jN71fwKMCRVcDtwFhQEYW,136.202,19,3,1,4,4.13e-06,0.252,0.909,0.926,0.246,-5.955,0.04,0.739,154.772
My Little Underground,387vPtikdTLan0ywabAIzD,152.685,19,0,1,4,2.1e-06,0.307,0.899,0.815,0.252,-5.559,0.0483,0.439,149.133
Never Understand - Alternate Version,3ojzZh6YxVE3XgdRfsMUyM,206.106,19,11,1,4,0.00369,0.293,0.88,0.415,0.382,-4.094,0.0462,0.326,75.985
Jesus Fuck,5033c6REgNVWuytIBZUuiU,149.916,19,2,0,4,2.14e-05,0.152,0.784,0.839,0.144,-3.726,0.0693,0.0454,134.39
