"Estácio, Eu E Você",0NhgPObVVpBOiA4rmXoCS2,135.893,32,0,1,4,0.878,0.588,0.591,6.58e-06,0.123,-6.951,0.0316,0.863,155.199
Vale Quanto Pesa,2XJMcgIzo2cR0BSLYWDrMC,191.333,41,2,0,4,0.816,0.55,0.636,0.0797,0.107,-5.889,0.0558,0.718,142.104
"Estácio, Holly Estácio",5XZsVyVtQ0teTbEw93RMI4,149.573,37,11,0,4,0.816,0.534,0.282,2.24e-06,0.163,-8.792,0.0444,0.325,100.509
Pra Aquietar,1LT6a1OA7WOBDjsb8vaVWv,166.773,32,0,1,4,0.261,0.862,0.9,2.2e-06,0.172,-3.182,0.157,0.898,134.977
Abundantemente Morte,7JgT7Yt2FbyFJJYTQcweES,207.826,29,7,1,5,0.982,0.691,0.134,0.000105,0.113,-9.116,0.0557,0.138,52.945
Pérola Negra,5JG0NigCZCt81My5Yizv1E,169.973,52,5,1,4,0.972,0.526,0.252,0.0017,0.155,-9.801,0.0556,0.312,105.469
Magrelinha,3NKztbZsUnc18vtO01eecf,126.8,50,0,1,4,0.884,0.555,0.34,1.16e-05,0.134,-7.099,0.0354,0.304,114.608
Farrapo Humano,5UnJuOTwj0dvFE8KZd3d7T,192.093,32,0,1,4,0.699,0.529,0.632,2.23e-05,0.217,-5.945,0.0361,0.748,135.643
Objeto H,6Yb7wkIQAiANjRoyzqStGX,145.4,30,0,1,4,0.761,0.517,0.588,2.71e-06,0.336,-6.816,0.0444,0.91,148.326
Forró De Janeiro,6louXBRFgm4TINkIu4sbfY,195.133,28,7,1,4,0.686,0.691,0.709,0.0,0.528,-6.88,0.211,0.919,108.26
