Uncontrollable Urge,1RG1Pz45nlYNHka7JioyOT,191.266,55,2,1,3,0.0551,0.571,0.858,0.665,0.0943,-7.066,0.0326,0.716,92.523
(I Can't Get No) Satisfaction,5FzBxhIsZBFXDTVGWtV4IQ,160.093,48,9,0,4,0.166,0.878,0.655,0.0228,0.0636,-11.821,0.155,0.963,102.16
Praying Hands,2SyWSu87uLSV5HH6wdsfQ7,168.333,32,2,0,4,0.161,0.615,0.652,0.0157,0.188,-10.642,0.066,0.883,165.098
Space Junk,3ALpXGwDQpUQfUDWqub5Cf,134.533,33,7,1,4,0.312,0.433,0.388,0.043,0.0769,-11.485,0.0289,0.675,88.679
Mongoloid,3bGG7jaMbcx8JDl3gLUvo7,225.333,43,11,0,4,0.0509,0.565,0.473,0.16,0.107,-12.294,0.0465,0.579,148.101
Jocko Homo,4FEUoGEmytDfKURalZlbcv,217.493,35,7,1,4,0.557,0.567,0.556,0.000441,0.118,-12.952,0.108,0.808,123.899
Too Much Paranoias,5hdpL6p87olMceaqUPyivM,117.373,31,4,1,4,0.389,0.477,0.708,0.749,0.524,-8.548,0.23,0.4,78.989
Gut Feeling / (Slap Your Mammy),2vFaBeQqDVZW9SiJeiM4LU,297.733,52,7,1,4,0.0128,0.297,0.811,0.538,0.111,-10.267,0.0583,0.722,165.376
Come Back Jonee,2gtceWbPOZYvLK5nj02Kci,229.266,30,7,1,4,0.0315,0.355,0.874,0.161,0.253,-7.734,0.217,0.77,176.79
Sloppy (I Saw My Baby Gettin'),1d8iAFwoIIJLcVQ7os4snL,160.373,27,2,1,4,0.278,0.452,0.794,0.000215,0.221,-10.435,0.181,0.545,177.029
Shrivel-Up,1lcy699yytg7c50hUfM5A8,185.026,28,5,1,4,0.0391,0.56,0.732,0.226,0.392,-14.459,0.0663,0.472,159.955
