I Am The Sea,0f0DUjcrkg9Vi4Eg0abLPi,129.88,32,10,0,1,0.345,0.152,0.694,0.069,0.331,-25.055,0.1,0.0181,79.201
The Real Me,4rVvheUQ2wQpn5uXX5l0gS,200.706,40,5,0,4,0.0585,0.491,0.932,0.00493,0.347,-7.028,0.118,0.569,148.831
Quadrophenia,2daz5cSUMul4An2vCSERJC,373.133,35,4,1,4,0.0736,0.321,0.668,0.172,0.534,-8.485,0.0415,0.105,123.216
Cut My Hair,75AhlGB9aFWTxDfbmbdiCH,224.346,31,0,1,4,0.331,0.469,0.494,0.0,0.0875,-9.495,0.0439,0.408,138.758
The Punk And The Godfather,2O1tCUkthqO7SWpXdDnp2T,310.933,33,2,1,4,0.0512,0.478,0.812,0.000104,0.0902,-8.368,0.0754,0.387,125.652
I'm One,6TRQUflD06zYvNijwb2HNH,157.853,35,7,1,4,0.292,0.32,0.561,7.21e-06,0.0544,-9.702,0.0543,0.41,202.266
The Dirty Jobs,2JqIRmo5zyrneYYVG9XX5D,268.933,31,5,1,4,0.374,0.541,0.81,0.00167,0.596,-8.279,0.052,0.745,154.122
Helpless Dancer,775kHBFQ3xnxGeRe0rOz7b,153.546,29,9,1,4,0.79,0.347,0.24,0.0168,0.179,-14.544,0.0386,0.391,113.192
Is It In My Head?,5XSKoePK44z8EbM736fY57,223.453,28,7,1,4,0.605,0.496,0.612,0.0023,0.106,-8.936,0.0343,0.242,134.893
I've Had Enough,3AuM9hwmBkI2bfvU3nUP74,376.253,31,2,1,4,0.118,0.576,0.559,0.00093,0.647,-9.26,0.0275,0.241,137.846
5:15,5E7AQh3drqwYcIQkcdUs5Y,300.386,38,0,1,4,0.0241,0.432,0.853,0.0815,0.557,-6.659,0.0398,0.528,126.481
Sea And Sand,1mcxcbwbOhBAk3XUSf1KVE,301.213,29,2,1,4,0.0405,0.513,0.848,1.51e-05,0.384,-9.462,0.0563,0.685,128.597
Drowned,4ZT2Xki1u0HjBmMS6xbLsA,326.746,29,0,1,4,0.017,0.4,0.95,0.104,0.39,-8.937,0.0568,0.509,124.162
Bell Boy,0DkCOLwvtxVPs3ri0XbDLK,295.466,31,5,0,4,0.203,0.574,0.796,1.9e-06,0.133,-8.913,0.0806,0.266,129.229
