Bombtrack,2rBHnIxbhkMGLpqmsNX91M,243.453,65,4,1,4,0.0239,0.459,0.926,1.93e-05,0.183,-3.415,0.155,0.569,151.534
Killing In The Name,59WN2psjkt1tyaxjspN8fp,313.573,79,7,1,4,0.0266,0.466,0.833,0.0,0.0327,-4.215,0.304,0.661,88.785
Take The Power Back,25CbtOzU8Pn17SAaXFjIR3,336.44,61,1,1,4,0.0728,0.62,0.912,7.15e-05,0.249,-4.011,0.221,0.291,106.236
Settle For Nothing,1CbG6oKKrYEw3W1DnddDFv,286.666,48,4,0,4,0.0299,0.501,0.654,1.32e-05,0.172,-5.204,0.038,0.304,97.972
Bullet In The Head,1WWgMk8nD79p8VeKFGYrOw,306.68,59,9,1,4,0.00673,0.431,0.855,0.00114,0.639,-4.205,0.15,0.397,163.014
Know Your Enemy,1XTGyfJeMiZXrZ1W3NolcB,294.506,64,4,1,4,0.0125,0.575,0.857,0.00229,0.145,-3.961,0.155,0.623,117.413
Wake Up,2QiqwOVUctPRVggO9G1Zs5,363.853,64,7,1,4,0.00563,0.411,0.893,0.00967,0.149,-3.646,0.139,0.513,170.407
Fistful Of Steel,67qdozSgFFHL6VGW85KmtD,330.546,50,11,0,4,0.0191,0.529,0.827,0.195,0.0938,-6.413,0.114,0.585,155.529
Township Rebellion,4BOOsIe7Zx3SKJAEXgt1YH,324.08,47,2,1,4,0.00863,0.542,0.704,0.00285,0.113,-5.166,0.0511,0.44,134.068
Freedom,48lQegoLqGAzaRLnMwK0mO,366.333,52,7,1,4,0.000893,0.503,0.678,0.0134,0.348,-5.552,0.103,0.501,112.277
"Bombtrack - Live at 1st Avenue, Minneapolis, MN - April 1993",3Vec0PnlBMjRRgHLmqKY7H,356.506,40,11,0,4,0.516,0.48,0.737,1.77e-05,0.779,-7.268,0.57,0.701,156.672
"Bullet In The Head - Live at Melkweg, Amsterdam - February 1993",6LPbJ9tVF4eF85jy8iizFm,343.133,39,9,1,4,0.00391,0.364,0.905,0.000458,0.727,-5.276,0.188,0.632,170.445
"Take the Power Back - Live at 86th Street Music Hall, Vancouver, B.C. - April 1993",6eRGup7iLpPqHqTzRlDriz,369.24,38,7,1,4,0.168,0.531,0.889,0.00383,0.968,-5.555,0.155,0.551,106.828
Bombtrack - Demo,1cGbiPXCsORy9n7CqGYgKI,244.453,37,11,1,4,0.284,0.586,0.903,0.0,0.195,-5.021,0.242,0.55,151.269
Take The Power Back - Demo,0HEeoSv1KTj7Mwgn3HewFM,339.733,37,7,1,4,0.0389,0.601,0.869,1.82e-05,0.0701,-5.646,0.0542,0.396,102.2
Bullet In The Head - Demo,4rEPAJKYF5FuCN62NIYPOU,309.173,36,4,1,4,0.0362,0.404,0.834,0.000147,0.491,-5.965,0.118,0.545,165.909
Darkness of Greed - Demo,32Ja9Xha95j4YTslnmnvo6,219.8,36,11,0,4,0.327,0.503,0.893,0.0,0.105,-7.2,0.286,0.182,179.139
Clear The Lane - Demo,0WmMjUF2HaR2xEpdLnt4au,227.2,37,4,1,4,0.0673,0.595,0.939,0.000134,0.232,-3.493,0.0611,0.773,106.732
Township Rebellion - Demo,1a6RsQnWn0qwezlw4sXjZ5,258.826,35,2,1,4,0.0361,0.518,0.704,1.57e-05,0.0731,-3.605,0.0386,0.364,137.423
Know Your Enemy - Demo,4w8mxZL9GSKuvtExuOdjPL,258.32,36,4,1,4,0.0411,0.459,0.909,0.000179,0.0517,-3.277,0.0417,0.689,113.328
Mindset's A Threat - Demo,39sUoX8oc4ZuzqZWCALBIg,235.813,36,9,1,4,0.0681,0.685,0.836,3.47e-06,0.0668,-3.841,0.077,0.538,143.604
Killing In The Name - Demo,3LpONSSvnLbXga9G5MhrSV,386.76,37,2,1,4,0.193,0.438,0.901,0.0,0.0545,-5.525,0.137,0.44,90.974
Autologic - Demo,4bBiPqQaVQUSFtFylYxbi2,246.24,36,7,1,4,0.266,0.599,0.938,0.0,0.211,-4.182,0.209,0.59,88.895
The Narrows - Demo,4uxyV8D5IypPO4SDfnhETg,275.64,35,9,1,4,0.135,0.397,0.945,2.05e-05,0.0861,-3.897,0.0563,0.599,96.254
Freedom - Demo,7GmXA0WNK3bUUxe1DgHJsM,340.653,35,7,1,4,0.00153,0.385,0.632,0.00839,0.29,-7.289,0.0371,0.567,142.714
