Puteiro em João Pessoa,4ZBAHIisGJC5NcIZhFdInf,188.933,46,11,0,4,0.000459,0.424,0.832,0.0169,0.2,-9.104,0.0357,0.96,130.815
Palhas do coqueiro,473BctFOaLD34baSLIr3AS,133.76,36,8,0,3,0.0111,0.276,0.95,0.000242,0.889,-6.749,0.102,0.478,145.29
MM's,5gHjY1mf2tDX5By1vld10E,120.133,30,9,1,4,0.000343,0.315,0.934,3.83e-06,0.0621,-8.023,0.0349,0.592,97.093
Minha cunhada,6R3JqQlY67FRC0Todr1a1j,81.706,33,7,1,4,1.59e-05,0.3,0.947,0.00569,0.0796,-8.794,0.0407,0.691,132.439
Rapante,1v7m4xl60SjS7ZXp5aEKui,183.8,33,11,1,4,0.000272,0.384,0.921,0.0583,0.257,-8.852,0.0651,0.452,125.755
Carro forte,3XBgmYA38PTUADBVKdIY0G,90.466,29,2,1,4,0.000292,0.334,0.99,0.000948,0.041,-6.993,0.0542,0.374,136.057
Nega Jurema,0imIUyJusF5SD8HMaOuj2P,113.16,39,5,0,4,0.000532,0.354,0.886,0.00499,0.106,-8.658,0.0681,0.549,133.762
Deixe de fumar - Cachimbo da mulher,4fuFSToXovRvDeq8OHweB3,91.973,31,11,0,4,0.000187,0.278,0.958,4.74e-05,0.115,-8.232,0.0719,0.736,138.517
Be a bá,4ntcg0Cardmdy23IGo75O3,151.226,34,9,1,4,0.00141,0.416,0.911,0.000741,0.149,-8.934,0.0537,0.381,102.716
Bicharada,3T281XdwPSG9p3XsKQolTz,97.733,28,9,1,4,0.000175,0.308,0.918,3.64e-06,0.248,-7.87,0.0531,0.624,156.054
Marujo - Ao vivo,2qx84VY49Xw0KaCotbxKko,152.373,29,9,1,4,0.000902,0.382,0.957,0.00665,0.0447,-8.488,0.11,0.323,114.805
Cintura fina,4xJWQ8nFmkuMp9iP0twv7X,155.56,39,2,1,4,8.06e-05,0.442,0.97,0.000296,0.0586,-7.062,0.0434,0.531,130.048
Selim,6xnPY0pNh5I7l4VOH62v6j,254.373,41,7,1,4,5.26e-05,0.432,0.668,0.172,0.349,-11.111,0.0342,0.875,121.417
Puteiro em João Pessoa II,5J5nOYHlppB95KN9umsfeP,190.0,28,11,0,4,0.000274,0.427,0.859,0.123,0.211,-9.174,0.0391,0.913,130.612
Selim - Acústico,3oxIvDhJjYEqI3KBPftVyH,252.893,25,7,1,4,0.0402,0.442,0.198,4.34e-06,0.341,-16.578,0.0314,0.515,122.35
