Peter Piper,5gsY63Dq5ht0LEvydhj9lA,203.333,53,7,1,4,0.00789,0.862,0.424,0.000261,0.166,-13.717,0.308,0.564,105.498
It's Tricky,6jBCehpNMkwFVF3dz4nLIW,183.426,70,11,0,4,0.000844,0.956,0.72,0.0,0.0597,-13.476,0.137,0.961,127.872
My Adidas,6LdpVTJzigyi2vbKe8mZAr,167.573,49,10,0,4,0.000816,0.828,0.715,1.59e-06,0.276,-13.66,0.202,0.746,95.387
Walk This Way (feat. Aerosmith),6qUEOWqOzu1rLPUPQ1ECpx,309.76,70,6,0,4,0.00796,0.759,0.578,8.18e-05,0.0605,-12.56,0.0468,0.944,105.598
Is It Live,40rt5qcE4k671lIT3RSH1G,187.106,26,6,0,4,0.0255,0.848,0.763,6.83e-05,0.0867,-12.421,0.301,0.814,96.682
Perfection,2hb8KK0qXLVNKIvVnfJkFj,172.293,25,10,1,4,0.000866,0.594,0.616,0.000122,0.0197,-17.615,0.148,0.587,170.049
Hit It Run,6Xy4xrbAi52V5MqkNehbwu,190.666,28,5,0,4,0.00926,0.915,0.699,4.87e-06,0.0783,-13.144,0.376,0.71,96.809
Raising Hell,1zAfj2rXxddGb8Dhnwxue8,332.4,35,2,1,4,0.0115,0.72,0.775,0.0,0.15,-13.203,0.26,0.767,169.141
You Be Illin',5m8WUAOtjHLt3y8UVPXUIm,205.96,42,11,0,4,0.00193,0.962,0.534,0.000897,0.0136,-13.968,0.11,0.561,127.706
Dumb Girl,2Fbo3XNgAKLlEhGwaIJ3qc,211.533,29,6,0,3,0.000378,0.664,0.408,0.0212,0.0884,-16.315,0.174,0.488,190.672
Son Of Byford,2NPSq3PCNtXjmtlL3N6nCr,27.4,0,10,0,4,0.091,0.65,0.552,4.53e-05,0.656,-18.948,0.931,0.215,160.048
Proud to Be Black,3nLsMbxcy2u57XRPhT0yzO,195.16,26,11,1,4,0.00308,0.835,0.639,0.0,0.296,-14.037,0.511,0.9,169.972
