Blitzkrieg Bop - 2016 Remaster,4KcH1ZRV2W1q7Flq0QqC76,134.466,71,9,1,4,0.000269,0.385,0.783,0.47,0.108,-2.533,0.233,0.902,176.701
Beat on the Brat - 2016 Remaster,55mKuESqpfgqe0kooIkTH2,151.96,53,4,1,4,0.00305,0.481,0.88,0.642,0.13,-1.108,0.176,0.961,156.859
Judy Is a Punk - 2016 Remaster,0vGCxnTwYZFtOAW3oz28kd,92.48,51,3,1,4,0.0801,0.232,0.866,0.0962,0.235,-1.38,0.0503,0.722,179.551
I Wanna Be Your Boyfriend - 2016 Remaster,70U8S3FnHJlwPuid3D2A5d,144.306,49,4,1,4,0.00211,0.502,0.837,1.38e-05,0.12,-3.184,0.0288,0.677,133.694
Chain Saw - 2016 Remaster,0qh1urPOJNYPrBQREE5lLS,116.413,37,9,1,4,0.00595,0.287,0.935,0.0,0.464,-1.844,0.135,0.709,183.067
Now I Wanna Sniff Some Glue - 2016 Remaster,1KWWXe7kMpVptnBsdiiyVb,95.973,46,9,0,4,0.000423,0.219,0.684,0.000421,0.177,-2.661,0.0739,0.71,176.817
I Don't Wanna Go Down to the Basement - 2016 Remaster,6WPZnQd1Ic50z5RzKWhZKT,160.946,37,9,1,4,3.96e-06,0.233,0.813,0.485,0.164,-3.882,0.0831,0.819,178.959
Loudmouth - 2016 Remaster,18hdp5HzsWTsl6NjsPhnpB,135.066,35,9,1,4,1.06e-05,0.183,0.902,0.537,0.129,-4.267,0.121,0.757,177.658
Havana Affair - 2016 Remaster,2A0zKcpBgK7v9G2gsimPIY,117.066,48,7,1,4,0.00276,0.278,0.904,0.00219,0.15,-2.019,0.0735,0.713,177.278
Listen to My Heart - 2016 Remaster,6XelYgwWSqRpwMs15BgGYM,118.653,34,9,1,4,0.000715,0.295,0.899,0.000253,0.364,-1.733,0.0965,0.826,179.209
53rd & 3rd - 2016 Remaster,1KsSlsvm2hjzB1WWkryxIj,141.333,37,9,1,4,0.000711,0.395,0.883,0.0517,0.0767,-1.12,0.0452,0.86,135.131
Let's Dance - 2016 Remaster,5wPUGMFkGjNQH9W3FkgkGt,111.866,45,7,1,4,0.000157,0.322,0.72,0.00766,0.182,-2.787,0.173,0.839,182.676
I Don't Wanna Walk Around with You - 2016 Remaster,1PjbjMEDnpGMDnyqoGCCfD,102.813,33,2,1,4,0.0101,0.306,0.926,0.772,0.122,-1.488,0.156,0.7,178.955
