Drowned World / Substitute for Love,0beXeFEWUYYY13fYVHTtFk,308.973,47,4,1,4,0.727,0.539,0.308,0.207,0.107,-12.101,0.0413,0.131,139.901
Swim,5EozWxc0G7mMAHgQdGDlHm,300.6,42,8,0,4,0.584,0.618,0.476,0.0243,0.168,-12.823,0.0345,0.2,100.488
Ray of Light,4Fpsa3pYc3gozrxHRRPvR6,320.693,59,3,1,4,0.00118,0.561,0.909,0.46,0.0713,-7.878,0.0312,0.71,127.172
Candy Perfume Girl,7crZfJQOb8QsLtn3LwwQLK,276.64,41,1,0,4,0.0297,0.608,0.651,0.413,0.0994,-11.054,0.0451,0.37,97.117
Skin,3EdOkdjZAkSHfZJYPYJ78K,381.333,42,8,1,4,0.339,0.572,0.806,0.832,0.0681,-12.316,0.0643,0.388,142.957
Nothing Really Matters,6bZPQHvekmIFBZZB7nMB5X,269.093,47,0,1,4,0.0534,0.707,0.692,0.00796,0.0649,-6.937,0.0409,0.248,116.868
Sky Fits Heaven,2KuNI576snW2Xlr1y8cMaW,287.733,42,10,1,4,0.0727,0.526,0.568,0.711,0.106,-10.504,0.038,0.215,139.952
Shanti / Ashtangi,0gVwAMrq7nXQNYz39n0C6L,268.666,41,11,1,4,0.0588,0.641,0.771,0.075,0.117,-9.501,0.0403,0.419,139.845
Frozen,2II03llydk4YnkBBvoYB3B,367.333,63,1,1,4,0.662,0.602,0.616,0.0153,0.149,-10.917,0.0353,0.31,108.017
The Power of Good-Bye,01VFDkHBNJcCNUjzD3flWg,250.56,58,5,0,4,0.0442,0.534,0.561,0.678,0.189,-11.089,0.0409,0.219,84.978
To Have and Not to Hold,0koXhZM2nyHAJ6fmGWCprN,322.746,42,10,0,4,0.721,0.554,0.543,0.317,0.0659,-12.417,0.0355,0.654,88.038
Little Star,67NdrXnC8NiGfGWqzViGWA,318.586,40,1,0,4,0.504,0.456,0.59,0.00792,0.0985,-10.724,0.0404,0.346,144.924
Mer Girl,2mG3ShZcT6xkKRvSrPJZus,331.76,38,4,1,3,0.929,0.339,0.175,0.000554,0.106,-17.667,0.0469,0.16,101.249
