Intro - 2005 Remaster,7oYlZ3vB5yxiKMrbHeFV9v,203.853,45,6,0,4,0.279,0.516,0.694,2.04e-06,0.213,-8.701,0.475,0.586,96.329
Things Done Changed - 2005 Remaster,7hdOchAKFm6FwzyevcQ56y,238.106,53,1,1,4,0.0244,0.742,0.63,2.77e-06,0.0716,-6.95,0.254,0.123,90.905
Gimme the Loot - 2005 Remaster,1xIxMz1sNQ4b6svH1GuTtF,304.146,65,7,1,4,0.0867,0.713,0.647,0.0,0.636,-8.22,0.439,0.694,94.036
Machine Gun Funk - 2006 Remaster,2bXI4Rbw1D7aVeHWLjn1Lb,255.893,61,4,0,4,0.102,0.841,0.738,0.0235,0.0901,-5.317,0.3,0.305,93.725
Warning - 2005 Remaster,33rsCCLHklTQav9klbpnAi,220.493,61,6,0,4,0.356,0.594,0.785,2.18e-05,0.139,-7.598,0.461,0.426,171.755
Ready to Die - 2006 Remaster,3UQAKY0SUEonxneROvv4jy,264.546,57,6,1,4,0.0633,0.724,0.841,3.68e-05,0.487,-5.713,0.309,0.476,84.991
One More Chance - 2005 Remaster,5onGESUxi3P9xLt311oS59,283.053,54,10,0,4,0.107,0.848,0.698,0.0,0.174,-5.73,0.338,0.697,94.066
Fuck Me (Interlude) - Interlude; 2005 Remaster,1JEXG96amOfvR18sW1OXoI,91.093,44,11,0,4,0.359,0.436,0.624,0.0,0.812,-9.818,0.808,0.428,163.39
The What,4dTtYVQzlwBMpVyQ4h3wy2,237.48,58,10,1,4,0.186,0.622,0.711,0.0,0.107,-8.213,0.414,0.734,173.396
Juicy - 2005 Remaster,5ByAIlEEnxYdvpnezg7HTX,302.693,76,9,1,4,0.472,0.889,0.816,0.0,0.204,-4.67,0.247,0.777,96.056
Everyday Struggle - 2005 Remaster,3bOvAqhaZNSWpGVIvHEx8B,319.4,58,1,0,4,0.0689,0.912,0.721,0.00148,0.12,-6.456,0.266,0.444,96.139
Me and My Bitch - 2005 Remaster,0C5IKY0sXz4sg0hpx7HOz0,240.48,53,1,1,4,0.0713,0.629,0.715,0.0,0.569,-7.585,0.496,0.483,178.007
Big Poppa - 2005 Remaster,2g8HN35AnVGIk7B8yMucww,252.746,76,9,0,4,0.432,0.778,0.578,0.0,0.138,-7.22,0.274,0.758,84.487
Respect - 2005 Remaster,13N31D8yFuN4JeYYR7veY6,321.306,52,1,1,4,0.193,0.901,0.592,3.48e-05,0.262,-5.808,0.49,0.22,88.729
Friend of Mine - 2005 Remaster,0TibDQQ58jAlr6jnl5AORf,208.12,47,7,1,4,0.398,0.783,0.812,0.000122,0.305,-5.999,0.331,0.652,98.227
Unbelievable - 2005 Remaster,4heC6SnTBxTZZDef4AIBOk,223.706,52,6,0,4,0.179,0.769,0.791,0.000642,0.258,-7.679,0.261,0.768,182.949
Suicidal Thoughts - 2005 Remaster,5k8VqtBhkbAYakV5ZEFYNo,170.226,57,8,1,4,0.44,0.506,0.505,2.3e-05,0.0938,-10.198,0.444,0.0788,76.016
Who Shot Ya? - 2005 Remaster,2KFg8kjYy0rYjWsXGhEQHN,319.373,68,11,0,4,0.273,0.828,0.686,0.0,0.524,-5.689,0.218,0.617,91.713
Just Playing (Dreams) - 2005 Remaster,61fT12l0R16DiB9dd4zkfy,163.466,55,6,0,4,0.515,0.769,0.673,0.0,0.119,-5.063,0.385,0.688,177.784
