Time of the Preacher,3QFRiKaJAUl7nYnrjnEZ84,145.666,44,4,1,3,0.889,0.566,0.133,0.000625,0.112,-18.399,0.0498,0.23,136.101
I Couldn't Believe It Was True,4OXBjxTVtXTXgYarf05SPM,92.4,40,4,1,4,0.891,0.643,0.189,1.13e-05,0.108,-17.929,0.101,0.813,120.484
Time of the Preacher Theme,4ieACgFoxXvxl8fHOTsfis,73.533,35,4,1,3,0.909,0.572,0.0724,0.000126,0.188,-17.749,0.0431,0.393,126.911
Medley: Blue Rock Montana / Red Headed Stranger,0Pbswf0Ou38MzQxuoBUnKL,94.733,35,9,1,3,0.904,0.561,0.022,0.00336,0.0932,-22.575,0.0482,0.369,147.02
Blue Eyes Crying In the Rain,2uRVPeQbsEpRQD0DKr1WTo,138.6,61,4,1,4,0.928,0.626,0.04,0.00178,0.11,-19.994,0.0405,0.418,117.136
Red Headed Stranger,5buJ3E5gcaJvM3wRgwenFi,239.8,48,2,1,4,0.838,0.581,0.157,3.54e-05,0.103,-16.908,0.0692,0.473,80.074
Time of the Preacher Theme,0W2rFllig0g4turAl9N2aj,26.893,0,2,1,3,0.906,0.617,0.0237,2.37e-06,0.312,-19.723,0.0439,0.255,110.742
Just as I Am,1PORoQb3Fdo4i4ooz4CpYq,106.573,34,2,1,3,0.91,0.665,0.0324,0.628,0.105,-20.2,0.0655,0.686,99.368
Denver,6tUusq5keNmGvTV2cFTwaC,53.266,34,9,1,3,0.708,0.61,0.0999,1.24e-06,0.129,-16.778,0.0831,0.414,128.902
O'er the Waves,4Y78VMMBlZr359aYD2xKeY,47.226,32,7,1,3,0.872,0.687,0.236,0.947,0.0876,-19.435,0.128,0.511,135.793
Down Yonder,648CreAa2IFMs9t1B8669C,113.706,33,7,1,4,0.581,0.646,0.435,0.923,0.216,-20.081,0.0352,0.982,142.308
Can I Sleep in Your Arms,09L0YbNtphz1xkv1PAOM1f,320.573,36,4,1,4,0.895,0.41,0.0856,0.00123,0.0876,-19.231,0.0408,0.234,90.137
Remember Me (When the Candle Lights Are Gleaming),4EZyOclvM6qbLdiKEbot4l,170.36,39,2,1,4,0.865,0.639,0.203,0.00253,0.308,-16.784,0.0518,0.666,147.868
Hands on the Wheel,6C8nBZQw7yyPQ1jkelFYX5,262.093,38,9,1,3,0.835,0.6,0.12,0.000569,0.0969,-16.712,0.0446,0.158,92.682
Bandera,0PFSwgsWdePTE6tQw5MIb8,136.133,32,0,1,3,0.834,0.471,0.096,0.78,0.107,-22.433,0.0436,0.269,95.766
