Ela,6Kjv2ctXlNieD94iPtKQK6,175.76,32,0,1,4,0.222,0.636,0.869,0.0,0.0489,-8.646,0.0556,0.963,86.372
Tenho Sede,0b7TNCqGRjiqDxdomQrdo2,228.293,36,5,1,3,0.411,0.391,0.436,0.0,0.113,-8.105,0.0292,0.346,183.09
Refazenda,1ki3M7gq1XItAz8p4K59js,190.133,46,2,1,4,0.449,0.592,0.717,0.0,0.163,-6.613,0.0316,0.916,136.69
Pai e Mãe,59w0sJFmdFD9oAfMm5WRT3,234.48,30,2,1,4,0.76,0.449,0.303,4.69e-06,0.396,-11.19,0.0293,0.615,77.325
Jeca Total,1kX3kq9guvEICiu1XIKL9y,175.346,26,2,1,4,0.622,0.832,0.391,0.0,0.182,-11.271,0.0988,0.927,130.138
Essa é Pra Tocar no Rádio,4qqQt8BonMBZBPsrOdZoAJ,185.053,25,4,0,4,0.45,0.664,0.937,0.000478,0.114,-6.549,0.162,0.764,142.838
"Ê, Povo, ê",41O0aYqEk6dl3Qf6jw5H8x,253.026,26,8,1,4,0.453,0.382,0.831,0.0,0.112,-7.117,0.0296,0.95,94.323
Retiros Espirituais,39SalhVxRfGjJ92d0Ibwez,293.226,30,9,1,4,0.555,0.416,0.357,0.000992,0.117,-10.841,0.0318,0.574,93.342
O Rouxinol,7byo0KZSuLBAj6ZOEk16Gc,160.986,26,3,1,4,0.871,0.527,0.342,0.00104,0.146,-10.397,0.0517,0.333,173.731
Lamento Sertanejo,6fiP7J5EQI1edvg7pselXB,262.053,36,2,0,4,0.835,0.704,0.403,1.8e-05,0.108,-8.531,0.0311,0.205,101.023
Meditação,3sCS65MiRZDpWUD8DqMxRH,112.546,25,9,1,4,0.93,0.632,0.104,0.0641,0.102,-18.071,0.169,0.249,96.072
