Message In A Bottle,1oYYd2gnWZYrt89EBXdFiO,290.28,74,1,0,4,0.0338,0.577,0.808,1.33e-05,0.221,-7.04,0.039,0.869,151.008
Reggatta De Blanc,2EEp2vTGSRDSLHWUF80EZZ,185.133,45,2,1,4,0.000968,0.347,0.911,0.0165,0.0775,-7.036,0.0603,0.425,159.41
It's Alright For You,5fTI7JCaMRK09WtwG8ZrRK,192.013,43,4,0,4,0.0261,0.523,0.957,0.00863,0.247,-6.061,0.0598,0.755,172.036
Bring On The Night,4EkNINvDLeGgIL4zYGsYPb,255.213,54,2,1,4,0.0566,0.727,0.627,0.003,0.0779,-11.7,0.0633,0.773,109.603
Deathwish,4i3SC58kB65zfKo1oOW1q9,251.96,39,2,1,4,0.000153,0.682,0.876,0.393,0.0489,-11.078,0.0493,0.894,90.259
Walking On The Moon,62uLNJgVZaFiEiKV4LpoYJ,300.826,65,0,1,4,0.00142,0.514,0.34,0.0173,0.213,-12.779,0.0537,0.269,145.992
On Any Other Day,6rN4PWNTD8AY1mfLslqrQG,176.973,44,11,0,4,0.0514,0.656,0.745,0.0,0.374,-8.834,0.103,0.908,157.443
The Bed's Too Big Without You,3PfBnnkOf0LbCw2jixUCQG,265.093,50,11,0,4,0.0287,0.736,0.75,0.19,0.0518,-11.273,0.106,0.883,90.751
Contact,5MuKkqc8lnzldouHA0MwgL,157.333,37,4,1,4,0.187,0.574,0.859,0.0117,0.152,-8.274,0.0411,0.612,95.215
Does Everyone Stare,45BfHifOOhDpyPJn7El1JU,227.973,38,10,1,4,0.122,0.611,0.754,4.92e-05,0.0471,-9.162,0.0414,0.637,128.979
No Time This Time,5qolpk9X28wwWLGE8sZ328,197.666,36,0,1,4,0.022,0.294,0.969,0.00226,0.0654,-5.659,0.12,0.469,201.411
