Born Under Punches (The Heat Goes On) - 2005 Remaster,4eBCTzBsSjYgrLH5clQf2x,349.28,56,7,0,4,0.215,0.734,0.859,0.343,0.0823,-7.237,0.0922,0.908,112.941
Crosseyed and Painless - 2005 Remaster,0yhwdmbgkKdE1plV8xWdrd,285.613,51,7,1,4,0.138,0.723,0.818,0.748,0.218,-5.946,0.0366,0.894,135.122
The Great Curve - 2005 Remaster,35ljOibZSLEjOEPGrbaJsH,387.56,49,10,1,4,0.403,0.6,0.869,0.0205,0.0683,-5.591,0.0795,0.687,152.06
Once in a Lifetime - 2005 Remaster,38Ngied9rBORlAbLYNCl4k,259.906,71,2,1,4,0.181,0.644,0.919,0.134,0.622,-6.289,0.0561,0.871,117.459
Houses in Motion - 2005 Remaster,2hDMI3I7WGgHmP4EGAk7la,273.2,47,0,1,4,0.677,0.744,0.763,0.628,0.153,-10.399,0.0643,0.963,101.838
Seen and Not Seen - 2005 Remaster,58uyNQ2aC329uLMZpU9Ptz,204.52,42,2,1,4,0.111,0.771,0.748,0.912,0.0549,-10.012,0.0653,0.787,98.183
Listening Wind - 2005 Remaster,438kAOxGJQtpEkVMom9WXJ,282.906,45,11,0,4,0.501,0.725,0.788,0.568,0.292,-8.312,0.0837,0.942,144.418
The Overload - 2005 Remaster,4627xzFkr4qymUx03um6FX,362.933,40,4,1,4,0.671,0.42,0.39,0.802,0.0658,-11.742,0.0273,0.0384,91.104
Fela's Riff - Unfinished Outtake,0Q4O6v2akT3RfkNxCt522f,316.106,37,4,1,4,0.000788,0.691,0.826,0.888,0.164,-8.627,0.141,0.786,140.561
Unison - Unfinished Outtake,6ByBH36KiOFnRex149T3cR,286.8,35,0,1,4,0.132,0.711,0.909,0.026,0.36,-8.368,0.0576,0.867,125.779
Double Groove - Unfinished Outtake,44sJQeBc0S6gnbuIGHxq6l,264.72,34,0,1,4,0.0655,0.598,0.945,0.879,0.454,-9.021,0.0579,0.82,105.239
Right Start - Unfinished Outtake,2FkJ8X6a1prYSYIdaEUItJ,247.16,35,2,1,4,0.132,0.819,0.637,0.571,0.182,-8.564,0.0465,0.978,123.48
