Rádio Pirata - Ao Vivo,695RtGxv4fD6mdBj234InS,209.693,31,11,1,4,0.376,0.589,0.63,2.67e-06,0.309,-11.244,0.033,0.963,152.543
Olhar 43,1oar565TIGGsQXjAMoCJdK,183.906,59,3,1,4,0.395,0.686,0.663,5.39e-05,0.0506,-11.804,0.0473,0.96,82.052
A Cruz e a Espada,0b2xmnxJXbJgnF4pneKSnB,194.293,39,0,0,4,0.529,0.525,0.47,0.000765,0.105,-15.221,0.0469,0.429,123.623
Estação do Inferno,409azfN6EY1fvxvWE2BKTl,189.04,29,7,0,1,0.113,0.816,0.557,0.0,0.0732,-11.729,0.0334,0.961,112.808
A Fúria do Sexo Frágil Contra o Dragão da Maldade,16oVq15b1aCKmh2DdDaDvY,161.533,25,9,0,4,0.0392,0.706,0.738,7.23e-05,0.103,-13.742,0.0697,0.574,102.383
Louras Geladas,2zfkReKDo2ubvp49fIbkiJ,177.96,49,10,1,4,0.175,0.729,0.698,0.000305,0.182,-10.519,0.0728,0.673,95.244
Liberdade / Guerra Fria,7qrxRRkaqVoYs7UWTkL11n,224.6,24,0,1,4,0.185,0.481,0.498,0.051,0.068,-15.223,0.0787,0.585,135.459
Sob a Luz do Sol,4zsp7WQBxfZE6C8IYMmiWL,224.333,19,4,0,4,0.124,0.648,0.517,0.165,0.0998,-13.28,0.0585,0.29,115.052
Juvenila,72DUObUsf0bSDeeNefSba8,208.533,32,7,0,4,0.278,0.499,0.501,0.0151,0.402,-14.456,0.0343,0.658,128.674
Pr' Esse Vício,3lgJS4piPBtzeYcy78NgIW,229.106,23,2,1,4,0.374,0.494,0.654,0.00012,0.153,-13.111,0.0344,0.424,120.521
Revoluções por Minuto - Ao Vivo,3sNoP5NcDVlAGITvKGUwC8,197.6,49,0,1,4,0.201,0.646,0.665,0.000207,0.0667,-13.275,0.063,0.965,152.896
