Taxman - Remastered 2009,4BRkPBUxOYffM2QXVlq7aC,158.853,61,7,1,4,0.0101,0.469,0.596,0.0,0.321,-8.348,0.0749,0.783,133.586
Eleanor Rigby - Remastered 2009,5GjPQ0eI7AgmOnADn1EO6Q,126.533,70,4,0,4,0.936,0.581,0.28,1.56e-05,0.305,-9.091,0.0381,0.813,137.831
I'm Only Sleeping - Remastered 2009,2ylCrFiBu98SC0vFfaCent,180.32,61,8,0,4,0.21,0.494,0.47,0.0,0.28,-9.599,0.0301,0.698,103.477
Love You To - Remastered 2009,4RdJFhfLQcezwN5LsXl4qP,179.826,53,5,1,4,0.7,0.391,0.593,0.000249,0.0829,-8.999,0.0413,0.707,123.986
"Here, There And Everywhere - Remastered 2009",2B4Y9u4ERAFiMo13XPJyGP,144.88,61,7,1,4,0.921,0.29,0.247,0.00565,0.0917,-12.125,0.0383,0.36,165.361
Yellow Submarine - Remastered 2009,50xwQXPtfNZFKFeZ0XePWc,158.88,64,1,1,4,0.531,0.604,0.549,0.0,0.438,-9.873,0.0389,0.696,111.398
She Said She Said - Remastered 2009,3VSuWxZM6x6V3ig5nYtikL,156.04,55,3,1,4,0.103,0.329,0.678,0.168,0.843,-7.878,0.0344,0.672,106.476
Good Day Sunshine - Remastered 2009,7HTH1ppjkkOe7RLoBDKXYJ,129.293,60,11,1,3,0.719,0.77,0.496,0.0,0.123,-8.45,0.0468,0.571,117.331
And Your Bird Can Sing - Remastered 2009,4KRgqwb4kvBuTz1utbYxfb,120.493,59,4,1,4,0.0067,0.555,0.65,0.0491,0.236,-6.936,0.0282,0.966,132.59
For No One - Remastered 2009,1kDkaFlmkdEZiVUogaP9OZ,119.813,62,1,0,4,0.783,0.483,0.351,0.0,0.115,-10.487,0.0278,0.713,81.208
Doctor Robert - Remastered 2009,1ob06Ol8FMIPQgjpg7bMyk,134.266,51,4,1,4,0.164,0.394,0.64,0.139,0.153,-8.992,0.0488,0.574,164.626
I Want To Tell You - Remastered 2009,7orb0y6ySGdsYZywMoQtsD,147.973,51,9,1,4,0.182,0.493,0.525,4.4e-06,0.148,-9.289,0.0315,0.449,127.492
Got To Get You Into My Life - Remastered 2009,3tGhRLgcCP6SIZU3tbGl7l,149.24,61,0,1,4,0.42,0.521,0.524,9.27e-06,0.0838,-6.136,0.0302,0.711,136.679
Tomorrow Never Knows - Remastered 2009,00oZhqZIQfL9P5CjOP6JsO,179.546,57,5,1,4,8.4e-05,0.38,0.829,0.00208,0.342,-6.105,0.0405,0.0534,125.887
