Interlude: Pledge,5yaEeAMm4cW3JLQWaHVJ9e,47.666,26,2,0,4,0.726,0.267,0.164,0.00716,0.084,-26.916,0.0443,0.189,88.683
Rhythm Nation,4nTYxxF8iWBq54LO3dBUie,330.933,52,1,1,4,0.0504,0.633,0.931,0.109,0.375,-7.752,0.0686,0.676,109.116
Interlude: T.V.,0E4dew7zf6sBgYjjAsb8GJ,21.933,0,9,0,3,0.978,0.56,0.971,0.215,0.695,-14.402,0.828,0.371,109.594
State Of The World,0Yk6Xgk1Do6fAJWydT1dI6,287.866,31,6,1,4,0.333,0.741,0.842,0.0287,0.193,-7.533,0.0475,0.86,112.318
Interlude: Race,0uxK2g1iDNZRgipetUk4B6,4.866,0,8,1,0,0.871,0.0,0.841,0.0032,0.0,-12.065,0.0,0.0,0.0
The Knowledge,4crZIDgFUaBoeyj2KbD5j3,233.266,30,8,1,4,0.0205,0.766,0.698,0.188,0.343,-8.132,0.0981,0.72,107.117
Interlude: Let's Dance,5KcJlvSdqSwGnrDKnO5pYC,4.0,0,1,1,0,0.972,0.0,0.536,0.995,0.0,-15.574,0.0,0.0,0.0
Miss You Much,4r5VaK6H1bq0cTGPMTN97Z,252.333,50,6,0,4,0.0305,0.702,0.975,0.000134,0.165,-7.968,0.0396,0.646,115.185
Interlude: Come Back,5wPKrgX6V7fKBBAnLym8vV,20.96,0,11,1,4,0.326,0.209,0.0366,0.54,0.114,-22.956,0.0449,0.0345,87.352
Love Will Never Do (Without You),1SkJ8HjZUZRPYT3R2rh5sA,350.0,48,1,1,4,0.139,0.739,0.951,0.0062,0.462,-8.863,0.0496,0.551,103.17
Livin' In A World (They Didn't Make),1tfts53MuXfOYr1lXnfsIM,281.173,27,2,0,4,0.869,0.463,0.388,0.000103,0.512,-12.675,0.0315,0.154,76.519
Alright,63W4sfeRTTiNKFLAzUJHFe,386.533,39,11,1,4,0.1,0.667,0.893,0.592,0.55,-7.083,0.0364,0.963,111.705
Interlude: Hey Baby,1KmGTJpUF6zTN3JILdXBFe,9.76,0,6,1,0,0.948,0.0,0.267,0.0,0.487,-14.279,0.0,0.0,0.0
Escapade,5HAv1Ckfe50DUjv8ghwTrz,283.933,54,1,1,4,0.0259,0.806,0.954,0.000617,0.176,-6.741,0.0514,0.701,115.229
Interlude: No Acid,74wRImrG5kiZ6ltyaGJd6w,5.493,0,5,1,0,0.906,0.0,0.401,0.0,0.0,-13.797,0.0,0.0,0.0
Black Cat,4tYpYYoOI7WDxbCnPninwE,290.573,45,4,0,4,0.103,0.705,0.913,0.00111,0.216,-7.253,0.0484,0.665,114.959
Lonely,2ndoCv7McWcWwIRhtJvCpE,299.066,31,1,1,4,0.449,0.54,0.624,0.0343,0.326,-10.89,0.0349,0.563,165.6
Come Back To Me,0NSSqYISjnav81CEn6EgBY,332.741,44,5,0,4,0.626,0.428,0.409,0.00961,0.138,-12.346,0.0271,0.0611,77.906
Someday Is Tonight,4ijVfb64BvoN3ju3DlCc8v,361.24,31,8,1,4,0.199,0.572,0.45,0.000103,0.0497,-10.464,0.0323,0.111,81.975
Interlude: Livin'...In Complete Darkness,20yzy0NAk2XSAU4OYXlKby,67.2,22,2,0,4,0.907,0.246,0.257,0.0134,0.115,-19.405,0.0396,0.208,78.506
