Ele Está pra Chegar - Versão Remasterizada,1N6ZH6lttEvAy3G8Re9Xn5,270.386,30,10,1,4,0.0274,0.689,0.442,0.0,0.423,-14.315,0.0431,0.572,117.983
Simples Mágica - Versão Remasterizada,0kemw1xORosm2VulZNWUma,201.093,29,5,1,4,0.246,0.534,0.251,0.000211,0.101,-18.498,0.0323,0.207,83.274
As Baleias - Versão Remasterizada,1pIUxqWxOf4wsPPwlglXl2,332.0,36,8,0,4,0.503,0.425,0.277,0.0,0.346,-16.399,0.0366,0.177,128.127
Tudo Pára - Versão Remasterizada,2IgJTON17awlwxST0ILyOp,267.466,35,5,1,4,0.578,0.616,0.362,0.00011,0.0794,-15.955,0.0517,0.348,76.469
Doce Loucura - Versão Remasterizada,21n4Nn1K2GvFm9TeP0ZYFD,182.853,28,1,1,4,0.262,0.363,0.18,6.95e-06,0.135,-17.524,0.0339,0.298,136.339
Cama e Mesa - Versão Remasterizada,4lN2okBBRNDimttONXGggW,199.413,61,8,0,4,0.158,0.699,0.354,0.0,0.0689,-16.487,0.0362,0.751,119.909
Emoções - Versão Remasterizada,0xdRjhp5zF4grVrDhrF0U0,252.013,43,0,1,4,0.0648,0.485,0.288,1.1e-05,0.254,-14.816,0.0342,0.312,81.823
Quando o Sol Nascer - Versão Remasterizada,1N9awJB9RJS50Iqgfapts0,247.12,29,5,1,4,0.215,0.739,0.504,2.76e-05,0.127,-15.646,0.0299,0.819,102.29
Eu Preciso de Você - Versão Remasterizada,7E76zm7uBt5YqCrgapQ8p9,275.133,31,11,0,4,0.37,0.289,0.139,4.89e-06,0.101,-18.208,0.036,0.0762,59.846
Olhando Estrelas - Versão Remasterizada,6ZPkc0NyZHEXcVozhaXgTy,282.32,25,7,1,4,0.0607,0.339,0.248,0.00108,0.105,-15.774,0.0343,0.15,126.748
