Cretin Hop - 2017 Remaster,2GMujhtXaUVaSNbcTSGQ8m,115.986,36,9,1,4,0.000132,0.384,0.95,0.000369,0.399,-1.818,0.0435,0.865,185.151
Rockaway Beach - 2017 Remaster,2HZGsnMByx3V8KmNW6LqWF,126.453,52,2,1,4,0.000793,0.426,0.921,1.38e-06,0.169,-2.469,0.0529,0.895,187.415
"Here Today, Gone Tomorrow - 2017 Remaster",1wH6pi7gVjcpWbPMBBymfy,169.56,43,6,0,4,0.0664,0.501,0.872,1.22e-06,0.0656,-1.837,0.0344,0.255,118.591
Locket Love - 2017 Remaster,4uzPxs470SU1STUPLJZtP1,131.453,29,9,1,4,0.000656,0.412,0.869,6.92e-06,0.0839,-3.154,0.0328,0.972,182.766
I Don't Care - 2017 Remaster,3fKKBZ6oHb4jH41mHShcBO,99.146,31,2,1,4,0.0348,0.511,0.867,1.18e-05,0.0742,-2.527,0.0339,0.818,135.574
Sheena Is a Punk Rocker - 2017 Remaster,61MZN0yyMWSEwrLPUUGfgJ,169.92,60,0,1,4,0.0981,0.42,0.965,0.000335,0.0784,-1.986,0.0403,0.846,176.243
We're a Happy Family - 2017 Remaster,0mdK3JX6alyYa5jMrgSiip,160.32,44,4,1,4,0.00139,0.378,0.972,0.303,0.678,-2.987,0.0344,0.96,184.609
Teenage Lobotomy - 2017 Remaster,6rtYb4BGOlLvcy76N8yFbw,121.413,46,9,1,3,0.00092,0.494,0.849,0.0043,0.0598,-2.306,0.0397,0.97,184.666
Do You Wanna Dance? - 2017 Remaster,1jvzmNw7sVTSDnprPuEi0D,115.706,46,9,1,4,6.72e-05,0.366,0.889,0.000797,0.444,-2.408,0.0314,0.916,181.743
I Wanna Be Well - 2017 Remaster,0n2AFRt8NnS3ATlXhnoO49,148.466,29,2,1,4,0.0108,0.609,0.939,0.00475,0.1,-1.476,0.0302,0.939,130.865
I Can't Give You Anything - 2017 Remaster,2IqSiva0K7SwHAWAoDHR0p,121.173,27,0,1,4,0.000538,0.416,0.946,3.97e-05,0.0907,-3.65,0.0466,0.953,184.587
Ramona - 2017 Remaster,1FoEX9nPtFfq7jMyOgQ2pL,157.986,30,0,1,4,0.018,0.51,0.907,0.000756,0.347,-2.387,0.0555,0.832,142.233
Surfin' Bird - 2017 Remaster,3GgYsEaTyCeTH3e5JyEyXf,157.826,47,9,1,4,0.0867,0.444,0.983,2.04e-05,0.186,-2.409,0.0562,0.869,193.871
Why Is It Always This Way? - 2017 Remaster,1vf6ReZm52DkH3yhpDptWx,139.613,27,6,1,4,0.000459,0.434,0.877,1.82e-06,0.23,-4.016,0.0358,0.926,187.356
Cretin Hop - Tracking Mix,4v75249Jox8qvmJVwAJRev,117.266,23,9,1,4,7.24e-05,0.34,0.928,0.138,0.298,-3.093,0.0615,0.549,186.742
Rockaway Beach - 40th Anniversary Tracking Mix,4QNcIoDVAwS56uvmuEEL3A,127.0,24,9,1,4,0.00046,0.283,0.958,0.185,0.138,-2.488,0.0726,0.771,188.961
"Here Today, Gone Tomorrow - Tracking Mix",3PBbdW18UGyideU6vB9i6X,166.52,22,6,0,4,0.0186,0.568,0.839,0.00111,0.054,-2.773,0.0337,0.425,119.475
Locket Love - Tracking Mix,3ZyZ1DP7pqcgBHbguQtFst,136.506,20,9,1,4,0.000812,0.221,0.977,0.00884,0.169,-2.812,0.0902,0.716,183.518
I Don't Care - Version 2; Tracking Mix,3ZJrEGDOQ2AG2ovyQlgnNC,111.986,20,2,1,4,0.00417,0.585,0.839,0.000857,0.0595,-4.029,0.0299,0.799,123.486
It's a Long Way Back to Germany - Version 1; Tracking Mix,0lUILZZzwPTiI4V4i201De,143.693,20,3,1,4,2.63e-05,0.434,0.885,0.00679,0.0795,-3.61,0.0384,0.708,138.38
We're a Happy Family - Tracking Mix,0lysONAf7jM1FQdlEpMhQI,158.413,19,9,1,4,0.0016,0.332,0.991,0.332,0.119,-2.794,0.0737,0.788,186.217
Teenage Lobotomy - Tracking Mix,2ff5WmkvpXQYJBlc2oqSDl,124.533,19,9,1,3,0.000677,0.434,0.856,0.0822,0.224,-3.673,0.0628,0.682,185.94
Do You Wanna Dance? - Tracking Mix,1EEaNjuTBs4bNoFOFMcDgh,114.2,23,9,1,4,0.000245,0.303,0.898,0.0225,0.26,-2.567,0.0493,0.733,183.305
I Wanna Be Well - Tracking Mix,3VzG3CpnAh6wZuuu5ht8Dq,150.96,18,2,1,4,0.000376,0.547,0.876,0.747,0.0825,-3.136,0.0316,0.852,131.932
I Can't Give You Anything - Tracking Mix,5ePkTJMJpAt8QIVkJ6D9Og,133.453,17,0,1,4,0.000112,0.227,0.976,0.552,0.253,-3.014,0.0995,0.702,186.57
Ramona - Tracking Mix,5uTQJoh7o0a8a2S22LdEzI,186.893,18,5,1,4,0.0242,0.507,0.913,5.37e-05,0.105,-3.508,0.0415,0.77,141.796
Surfin' Bird - Tracking Mix,3vfSwBvDFOfAuE6BdiL8hd,173.8,18,9,1,4,0.043,0.553,0.978,1.64e-06,0.0459,-2.783,0.0689,0.296,97.224
Why Is It Always This Way? - Tracking MIx; 40th Anniversary Mix; Basic Tracking Mix,3kVVGiJ4OjBJIdIoLLq8T6,164.466,16,6,1,4,0.000247,0.343,0.984,0.00401,0.221,-3.058,0.081,0.643,188.698
Why Is It Always This Way?,4tz8sIl2x5stdD8OMjuG1V,118.813,16,6,1,4,0.000719,0.428,0.945,0.00289,0.284,-3.369,0.036,0.704,188.807
Rockaway Beach - Power Station Rough,5NYqu3YIjWqSiyJCvdLe3X,126.213,17,9,1,4,0.0476,0.395,0.954,2.2e-06,0.374,-1.641,0.0483,0.813,188.223
I Wanna Be Well - Power Station Rough,2r9sjOZEh3ns7V9H6cajPI,148.56,16,2,1,4,0.0016,0.677,0.91,0.0104,0.133,-3.378,0.0288,0.831,131.314
Locket Love - Power Station Rough,2tMC7I6ExWs5lnGTOFPgbY,135.666,15,9,1,4,0.00589,0.384,0.939,1.61e-05,0.313,-1.732,0.0362,0.965,183.418
I Can't Give You Anything - Power Station Rough,5ub8YpJvokixleHRKEHLTh,122.44,15,0,1,4,0.000683,0.378,0.92,7.86e-05,0.0924,-4.553,0.0363,0.967,183.813
Cretin Hop - Power Station Rough,6uCweEF0AJatf6gesR9gBv,115.853,15,9,1,4,0.000202,0.384,0.924,0.000802,0.447,-2.119,0.0582,0.793,185.708
We're a Happy Family - Power Station Rough,5AadC4t4FQ6RLMcuoTpnkL,134.706,15,4,1,4,0.00976,0.386,0.969,2.93e-06,0.457,-2.066,0.0387,0.902,185.139
Ramona,1ZHit1eue5vZ5KCx1H7zBH,186.506,16,0,1,4,0.00912,0.604,0.759,0.799,0.268,-3.966,0.042,0.616,142.389
Do You Wanna Dance?,41LesCFilEQmKFXO3yQbA2,112.76,16,9,1,4,0.000346,0.319,0.97,0.799,0.338,-2.691,0.0375,0.891,183.758
Teenage Lobotomy,2QyRMvPWpj8zGIi8XENnTg,122.973,15,9,1,3,0.000853,0.527,0.853,0.00366,0.139,-3.629,0.0448,0.963,186.483
