Happenings Ten Years Time Ago - Mono,3WJtN4tfE2aUoPAU8Vq5N9,177.16,32,9,1,4,0.417,0.486,0.733,1.66e-05,0.286,-8.723,0.0575,0.601,126.963
Psycho Daisies - Mono,1riHXT8OEfPA682l86z7LU,110.0,24,7,1,4,0.33,0.253,0.888,0.000128,0.411,-9.301,0.124,0.638,167.123
Lost Women - The Mono Album,2Ajtl0ro60h3VN3rD3Y1IF,195.4,33,0,0,4,0.0345,0.434,0.546,0.098,0.0935,-10.384,0.0379,0.465,121.738
Over Under Sideways Down - The Mono Album,07KYQySlrmE94gaLbhvp4X,142.506,46,11,1,4,0.292,0.529,0.861,0.225,0.314,-10.581,0.0784,0.387,96.52
The Nazz Are Blue - The Mono Album,5xarieRwJVWhn6lxgtYJmz,186.533,20,2,1,4,0.019,0.603,0.574,0.0016,0.223,-11.384,0.0453,0.674,131.825
I Can't Make Your Way - The Mono Album,6B9dZ6LasPRmlRJkshL8D8,147.866,16,1,1,4,0.694,0.57,0.615,3.97e-05,0.0693,-8.421,0.0256,0.761,70.879
Rack My Mind - The Mono Album,0jWfwJmT4T0nkFPKgaS4rI,195.16,16,0,1,4,0.391,0.555,0.612,0.0198,0.383,-10.383,0.0609,0.944,139.415
Farewell - The Mono Album,0Vcgk7R535aBfw7R58thge,91.6,15,0,1,4,0.617,0.503,0.317,0.333,0.117,-15.541,0.0319,0.305,78.524
Hot House of Omagararshid - The Mono Album,2AxS4zZL59OdNHdgqS4nwu,167.64,15,0,1,4,0.0395,0.574,0.77,0.293,0.38,-11.215,0.0642,0.712,119.284
Jeff's Boogie - The Mono Album,3Bfex1ecIKl2ncekpvhAQe,144.693,16,6,1,4,0.189,0.586,0.725,0.00152,0.286,-12.003,0.0469,0.799,103.932
He's Always There - The Mono Album,6k0A4me4rFcZdQCE3iS3vs,151.706,15,0,1,4,0.0338,0.549,0.619,2.74e-05,0.0722,-12.215,0.0774,0.794,125.82
Turn into Earth - The Mono Album,6vatXdeoYuzGa6CqFKtc97,196.533,18,0,1,1,0.0781,0.393,0.338,0.0775,0.115,-11.704,0.0282,0.349,92.386
What Do You Want - The Mono Album,67R11obHkSQta236emS0n5,205.76,19,2,1,4,0.238,0.452,0.668,4.76e-05,0.0697,-12.2,0.0699,0.576,117.498
Ever Since the World Began - The Mono Album,0SXFYqLMJBjg0H6JVaCM4L,127.306,13,8,1,4,0.0343,0.381,0.406,6.22e-06,0.0701,-11.734,0.0366,0.201,115.457
Lost Women - The Stereo Album,3NTegpfIg2erCDlXo1xu9b,196.426,37,0,0,4,0.00403,0.392,0.543,0.624,0.0462,-11.319,0.0311,0.611,122.547
Over Under Sideways Down - The Stereo Album,42VKViGrOARywd2ezUkjRo,144.64,16,7,1,4,0.0802,0.481,0.91,0.817,0.141,-9.475,0.0987,0.359,98.053
The Nazz Are Blue - The Stereo Album,0IpuMWoR69RnPNnWJsbEUb,184.626,15,2,1,4,0.00476,0.633,0.566,0.0016,0.0927,-11.405,0.0357,0.799,131.562
I Can't Make Your Way - The Stereo Album,0NR9gLgmOSZwEenCpBz3F5,146.706,12,1,1,4,0.591,0.554,0.565,0.0,0.133,-10.721,0.0305,0.683,141.319
Rack My Mind - The Stereo Album,2jyBWoVMuv3Na7fsN1q7x6,195.626,17,7,1,4,0.12,0.627,0.495,0.00253,0.374,-11.541,0.0361,0.964,138.793
Farewell - The Stereo Album,1Yzs1jeEWy2lSjqI6fRqSO,89.973,11,0,1,4,0.472,0.511,0.312,7.79e-05,0.19,-16.169,0.0324,0.212,78.312
Hot House of Omagararshid - The Stereo Album,6jFZdnqla8lcFdaJtliZWc,159.8,11,5,1,4,0.024,0.684,0.738,0.849,0.0739,-12.49,0.0484,0.812,119.638
Jeff's Boogie - The Stereo Album,35IDwsRLIK56pGwZsYWcu0,145.826,22,0,1,4,0.222,0.578,0.76,7.14e-05,0.299,-11.355,0.0453,0.883,105.9
He's Always There - The Stereo Album,3Sd1U6BCFVQK1LWg1tZS8C,135.333,11,0,1,4,0.113,0.587,0.549,0.0,0.0637,-14.776,0.0823,0.716,125.919
Turn into Earth - The Stereo Album,0oO7X7eDvD1zBSGu3qGAGb,186.2,14,0,1,3,0.135,0.448,0.217,0.276,0.301,-17.897,0.027,0.39,94.254
What Do You Want - The Stereo Album,2VPMsaX2vsbyU6Qfiqs8QW,202.466,10,2,1,4,0.202,0.518,0.683,0.00134,0.188,-12.293,0.0364,0.672,117.301
Ever Since the World Began - The Stereo Album,3C7W9Yq2B5yWVLsXl8Qh8V,129.973,10,8,1,4,0.0436,0.467,0.4,0.0,0.0513,-13.593,0.0324,0.125,102.656
Mr. Zero,19Rql0VJjHvpVgvettyamp,166.066,12,8,0,3,0.674,0.371,0.382,0.0,0.109,-10.524,0.0432,0.629,164.35
Knowing,3M4IxHwmmWk2KzYvyBYWLu,114.96,10,2,1,4,0.121,0.519,0.555,0.0,0.244,-11.835,0.0366,0.901,118.173
Shapes in My Mind - Version 1,0eNpQ6QYR1G8OUObMRtJ61,138.706,10,0,1,4,0.625,0.463,0.483,0.191,0.159,-9.898,0.0316,0.47,98.772
Shapes in My Mind - Version 2,3ZtKuIYJASpBlAzNEB0uhV,163.266,9,0,1,4,0.801,0.529,0.455,0.00411,0.21,-10.395,0.0348,0.51,95.7
Blue Sands - Excerpt,52hM71HkP037ey9FgpVrQ9,35.293,8,9,1,4,0.187,0.691,0.47,9.8e-06,0.0933,-12.227,0.059,0.606,114.199
