Drive My Car - Remastered 2009,06ypiqmILMdVeaiErMFA91,148.893,64,2,1,4,0.0173,0.754,0.571,0.0,0.3,-8.547,0.0421,0.82,122.463
Norwegian Wood (This Bird Has Flown) - Remastered 2009,1H7gMYGykdtwZOV6s1N0by,124.693,68,4,1,3,0.183,0.425,0.369,0.00126,0.112,-11.876,0.0379,0.65,176.625
You Won't See Me - Remastered 2009,4LLBKnNCrSRrSjSTuiwjE9,199.96,59,9,1,4,0.136,0.488,0.539,0.0,0.0538,-8.752,0.0304,0.473,115.941
Nowhere Man - Remastered 2009,5SUlhldQJtOhUr2GzH5RI7,163.693,63,4,1,4,0.00797,0.534,0.624,0.0,0.128,-9.589,0.0462,0.687,121.402
Think For Yourself - Remastered 2009,64bKVrkaXQAKx04dLHqCNz,138.52,53,0,1,4,0.0124,0.529,0.567,0.0,0.0729,-9.796,0.0282,0.799,130.544
The Word - Remastered 2009,4GBaPHvAyj4V2jeobD9tsy,163.106,52,0,1,4,0.00682,0.59,0.641,0.0,0.0553,-9.687,0.0416,0.792,120.773
Michelle - Remastered 2009,5By7Pzgl6TMuVJG168VWzS,162.373,67,5,0,4,0.652,0.578,0.29,0.0,0.105,-12.501,0.0341,0.666,117.403
What Goes On - Remastered 2009,19QXdPRZFHI5kNK3tN8Mh7,168.573,51,4,1,4,0.0168,0.67,0.776,3.01e-06,0.0732,-10.035,0.0749,0.765,96.93
Girl - Remastered 2009,6tQvjqDIK9GXWIC6mejms8,151.72,63,5,0,4,0.587,0.699,0.294,0.0,0.117,-13.205,0.0294,0.893,96.615
I'm Looking Through You - Remastered 2009,5E3BVY66TEDexFutOO5GeS,146.386,60,1,1,4,0.00772,0.667,0.498,0.0,0.0481,-11.027,0.0364,0.774,85.843
In My Life - Remastered 2009,3KfbEIOC7YIv90FIfNSZpo,146.333,73,9,1,4,0.449,0.688,0.435,0.0,0.113,-11.359,0.0323,0.435,103.239
Wait - Remastered 2009,0CGbof9amBnsNlRhZ8IY2H,134.72,52,6,0,4,0.0175,0.552,0.487,0.0,0.105,-10.574,0.04,0.657,127.201
If I Needed Someone - Remastered 2009,7C6hdDIz90Uf5YmdZnYbJJ,142.266,52,9,1,4,0.00748,0.492,0.755,0.0,0.102,-9.273,0.0331,0.796,127.387
Run For Your Life - Remastered 2009,4gUYV3ktbaOeAK5KrXMWV5,141.093,58,2,1,4,0.0103,0.563,0.705,0.0,0.0552,-9.232,0.103,0.822,176.732
