Second Hand News - 2004 Remaster,4SZhxF0sIS8nDvwhT0Tt2V,176.306,61,9,1,4,0.214,0.696,0.942,0.0049,0.0518,-5.232,0.13,0.481,117.541
Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,257.8,90,0,1,4,0.0644,0.828,0.492,0.00428,0.128,-9.744,0.0276,0.789,120.151
Never Going Back Again - 2004 Remaster,19Shlms2uTnOjIUg50TXzd,134.4,71,6,1,4,0.858,0.654,0.336,0.385,0.0786,-12.825,0.0379,0.947,176.083
Don't Stop - 2004 Remaster,3CPeWqqaHR0hmyfsWhMJQs,193.346,69,9,1,4,0.0373,0.672,0.72,9.38e-06,0.0371,-7.781,0.035,0.828,118.731
Go Your Own Way - 2004 Remaster,4xh7W7tlNMIczFhupCPniY,223.613,75,5,1,4,0.0167,0.586,0.941,0.000776,0.068,-5.139,0.0375,0.831,135.448
Songbird - 2004 Remaster,6DrXZwTuhl5Ow4mcmSWjME,200.813,61,5,1,4,0.982,0.389,0.0851,0.00187,0.101,-15.477,0.0346,0.364,184.298
The Chain - 2004 Remaster,5e9TFTbltYBg2xThimr0rU,270.213,82,9,1,4,0.009,0.545,0.67,0.000822,0.0451,-8.81,0.0496,0.481,151.553
You Make Loving Fun - 2004 Remaster,55mQhobuwtY7lfLAXylg1k,216.626,64,7,0,4,0.0133,0.62,0.604,0.102,0.104,-9.088,0.0261,0.857,126.576
I Don't Want to Know - 2004 Remaster,3B1lK5gNppO22gQLozrxeA,196.853,60,11,1,4,0.0633,0.722,0.697,0.0103,0.0675,-7.03,0.0278,0.942,139.348
Oh Daddy - 2004 Remaster,2wmr2A1ixEx9qViaOMkkkW,236.24,54,2,0,4,0.505,0.585,0.338,0.000125,0.136,-10.887,0.0335,0.477,138.131
Gold Dust Woman - 2004 Remaster,2ssyECwAX5JxtcAUTFw7wI,295.626,56,7,1,4,0.259,0.666,0.599,0.000769,0.373,-9.352,0.0305,0.696,123.16
Silver Springs - 2004 Remaster,4nZi6XNe36Ut4Nij3IQ1yC,288.786,62,0,1,4,0.00766,0.348,0.576,0.0462,0.276,-8.388,0.0289,0.428,179.014
Intro - Live 1977,7iPabscOgrBuDkjZAvOVRD,48.373,48,9,1,4,0.314,0.509,0.814,0.83,0.933,-10.856,0.12,0.614,94.776
"Monday Morning - Live at The Fabulous Forum, Inglewood, CA 08/29/77",2LWGrxEKOgcOjtkiuX0OPL,158.893,48,1,1,4,0.118,0.512,0.905,0.0,0.953,-7.02,0.0493,0.685,112.993
Dreams - Live 1977,5HY7oAMG0FSMewubwIf3iS,247.213,49,0,1,4,0.174,0.485,0.643,0.00294,0.966,-8.956,0.0422,0.343,127.759
Don't Stop - Live 1977,7uY8cyuuGiAMaYBZ9mOYxy,231.653,47,9,1,4,0.157,0.437,0.842,0.0,0.933,-7.802,0.0732,0.658,125.065
The Chain - Live 1977,5m5XW67LO8x72K0GusruVA,340.533,48,9,1,4,0.0177,0.347,0.889,0.0742,0.976,-7.252,0.0818,0.31,155.539
Oh Daddy - Live 1977,4Cv8KLIBrN25GRIJ3aeWq2,287.866,44,2,0,4,0.395,0.38,0.484,0.0112,0.687,-10.59,0.0455,0.16,127.679
Rhiannon - Live 1977,1nWyUagJmVzvBGTMDeY73L,475.306,51,9,0,4,0.314,0.349,0.739,0.699,0.972,-8.281,0.0716,0.259,134.364
Never Going Back Again - Live 1977,3q19zFJpKJIaUGyiCyIRTM,139.96,45,1,1,4,0.761,0.608,0.388,0.0539,0.693,-15.458,0.0361,0.791,91.235
Gold Dust Woman - Live 1977; 2013 Remaster,4ODF49KbLTq6Ny1tqm3Dk6,423.053,44,2,1,4,0.614,0.587,0.541,0.14,0.994,-11.681,0.0452,0.526,128.036
"World Turning - Live at The Fabulous Forum, Inglewood, CA 08/29/77; 2013 Remaster",1BosA2iQr78Frmq8tvJPLU,451.493,43,7,1,4,0.132,0.434,0.647,0.342,0.984,-11.448,0.0429,0.456,131.412
Go Your Own Way - Live 1977,2m7LB5YNXRgeYD5JCCJt28,294.466,44,5,1,4,0.0302,0.511,0.883,0.168,0.929,-8.01,0.0577,0.553,135.614
Songbird - Live 1977,28qWjMf2SlziunHhXj2jx5,240.44,42,5,1,4,0.88,0.406,0.294,0.000436,0.953,-19.146,0.052,0.377,93.062
Second Hand News - Early Take,37RFudlfMWLtCBirJR14D4,146.746,40,9,1,4,0.181,0.541,0.825,0.0395,0.0961,-9.021,0.0369,0.791,109.597
