Manguebit,3KvP15FG91EB1GcMJACa62,235.333,17,5,1,4,2.75e-05,0.363,0.897,0.153,0.382,-11.34,0.0436,0.922,132.916
A bola do jogo,0yeoI0HQpRXLAmsGgCjOXp,265.373,19,7,1,4,0.000228,0.494,0.709,0.00507,0.0952,-9.383,0.0328,0.686,94.434
Livre iniciativa,0EIydx8Hpg5Vad16NtnQwH,173.226,20,5,0,4,0.0413,0.706,0.627,0.000533,0.0979,-11.366,0.0466,0.865,88.667
Saldo de aratu,4J9qR2BKIykGf0392gbdPw,351.8,15,9,0,4,0.0123,0.559,0.604,0.238,0.0768,-11.96,0.0368,0.498,80.086
Uma mulher com W... Maiúsculo,7cFPHwcKFFypFKvk2qtd31,226.8,11,2,1,1,0.00603,0.332,0.838,0.0232,0.0977,-10.089,0.0352,0.335,101.345
Homero o junkie,59lrT5q4qYBQJ978XI96VT,216.666,12,11,0,4,0.00398,0.435,0.813,0.0135,0.138,-9.871,0.0451,0.621,136.186
Terra escura,6ZEzrgKgapLlMam696A4mW,191.466,12,0,1,4,0.0776,0.773,0.292,0.016,0.139,-17.219,0.312,0.845,149.97
"Rios (Smart drugs), pontes e overdrives",1PJE7N5wdOVldgvWUlhKb9,238.04,10,4,0,4,0.00738,0.563,0.294,0.001,0.0723,-15.243,0.0387,0.717,124.288
Musa da ilha grande,4Ibkz4tvlrF4pJ1Q83FNld,261.2,20,7,1,4,0.00287,0.63,0.741,0.00996,0.347,-13.029,0.0294,0.755,104.884
Cidade estuário,4Dd83KJY5MtkqWupYETIhu,304.466,9,4,0,4,0.00645,0.494,0.684,0.0072,0.0732,-10.124,0.0336,0.854,107.507
O rapaz do b... Preto,18x7VvRnjTyeavkY3EXxg4,252.0,8,11,0,4,0.0176,0.41,0.743,0.000865,0.053,-11.763,0.0408,0.921,123.515
Sob o calçamento (Se espumar é gente),36JFDIsZpESRzZ6NgqCMON,376.426,7,2,1,4,0.0712,0.609,0.92,0.154,0.0384,-9.939,0.0473,0.821,100.962
Samba esquema noise,3QtlafawwxRzYWzLAm7NEX,277.866,11,11,0,4,0.206,0.617,0.375,0.737,0.173,-18.592,0.0397,0.356,110.268
