"Mas, Que Nada!",6U03Orwr5Dxt8jahLnQpYV,179.293,57,2,0,4,0.662,0.512,0.511,0.000199,0.209,-8.645,0.03,0.589,89.499
Tim Dom Dom,1jCFnbL30NwORyVsiHX6mH,139.626,38,11,0,4,0.84,0.747,0.454,0.0,0.121,-6.761,0.102,0.897,86.422
Balança Pema,1XjFyPzU5z3zbYJQETYGiZ,86.76,40,4,0,4,0.639,0.615,0.319,0.0,0.142,-9.178,0.0376,0.828,90.998
Vem Morena Vem,75wVq4apQLxpOM6R58lMhy,117.133,38,10,0,4,0.725,0.614,0.473,0.0,0.454,-8.303,0.0705,0.754,91.747
Chove Chuva,6mTfOxORhYlpnTvm7VrL6b,184.093,55,10,1,4,0.644,0.729,0.401,0.0,0.0757,-9.458,0.0418,0.549,134.704
É Só Sambar,4LtJsC47UoPlp0qp9srYoy,124.066,36,9,0,4,0.893,0.527,0.326,0.0,0.203,-11.139,0.0296,0.684,136.156
"Rosa, Menina Rosa",2qlihQb5QUstwplDDlkZVL,133.826,34,10,1,4,0.562,0.61,0.595,0.0,0.233,-8.284,0.0666,0.747,96.407
Quero Esquecer Você,7CEGXqzXZv7gxsyF30J8cz,140.226,39,9,0,4,0.852,0.504,0.408,0.0,0.169,-9.298,0.0342,0.793,153.615
Uala Ualalá,5DPHDqGo6BbyvFn0QUJdIR,127.04,33,5,1,4,0.603,0.385,0.488,0.00662,0.446,-9.946,0.03,0.721,150.328
A Tamba,3RbaFpFrnhkZCIbqyPELna,182.16,33,2,0,4,0.759,0.587,0.419,0.000752,0.125,-9.4,0.031,0.578,129.092
Menina Bonita Não Chora,5MmxyCSL7xzxyRZBIVWtju,125.56,34,11,0,4,0.664,0.486,0.347,0.0,0.187,-10.301,0.0475,0.596,79.685
"Por Causa De Você, Menina",0YojqXjn4xb5hblpFAhqJr,167.066,52,2,1,4,0.601,0.518,0.535,1.91e-05,0.137,-8.56,0.0338,0.924,156.759
